,Map,Pokemon,DexID,MinLvl,MaxLvl,Item,Member,Tier,Type,Path,Time,Level,base_map,Map_x,Region,MaxMinLvl,IsHighestMin,HighestMinCount,IsRepellable,Repel
21,Cave Of Justice,Graveler,75,26,30,,,Common,Land,sprites/graveler.png,M/D/Ni,26-30,Cave Of Justice,Cave Of Justice,,26,True,8,False,
22,Cave Of Justice,Honedge,679,26,30,,Required,Rare,Land,sprites/honedge.png,M/D/Ni,26-30,Cave Of Justice,Cave Of Justice,,26,True,8,False,
23,Cliff Cave 1F,Geodude,74,22,26,,,Common,Land,sprites/geodude.png,M/D/Ni,22-26,Cliff Cave,,,28,False,9,False,
24,Cliff Cave 1F,Machop,66,22,26,,,Common,Land,sprites/machop.png,D,22-26,Cliff Cave,,,28,False,9,False,
25,Cliff Cave 1F,Makuhita,296,22,26,Black Belt,,Uncommon,Land,sprites/makuhita.png,M/D/Ni,22-26,Cliff Cave,,,28,False,9,False,
26,Cliff Cave 1F,Machoke,67,23,27,Black Belt,,Common,Land,sprites/machoke.png,D,23-27,Cliff Cave,,,28,False,9,False,
27,Cliff Cave 1F,Misdreavus,200,22,26,Spell Tag,,Uncommon,Land,sprites/misdreavus.png,M/D/Ni,22-26,Cliff Cave,,,28,False,9,False,
28,Cliff Cave 1F,Golbat,42,22,26,,,Common,Land,sprites/golbat.png,M/D/Ni,22-26,Cliff Cave,,,28,False,9,False,
29,Cliff Cave 1F,Graveler,75,22,26,Hard Stone,,Common,Land,sprites/graveler.png,M/D/Ni,22-26,Cliff Cave,,,28,False,9,False,
30,Cliff Cave 1F,Kingler,99,28,32,,,Common,Land,sprites/kingler.png,M/D/Ni,28-32,Cliff Cave,,,28,True,2,True,28-32
31,Cliff Cave 1F,Krabby,98,22,26,,,Common,Land,sprites/krabby.png,M/D/Ni,22-26,Cliff Cave,,,28,False,9,False,
32,Cliff Cave 1F,Quagsire,195,28,32,,,Uncommon,Land,sprites/quagsire.png,M/Ni,28-32,Cliff Cave,,,28,True,2,True,28-32
33,Cliff Cave 1F,Wooper,194,22,26,,,Common,Land,sprites/wooper.png,M/Ni,22-26,Cliff Cave,,,28,False,9,False,
34,Cliff Cave 2F,Geodude,74,22,26,,,Common,Land,sprites/geodude.png,M/D/Ni,22-26,Cliff Cave,,,28,False,9,False,
35,Cliff Cave 2F,Machop,66,22,26,,,Common,Land,sprites/machop.png,D,22-26,Cliff Cave,,,28,False,9,False,
36,Cliff Cave 2F,Makuhita,296,22,26,Black Belt,,Uncommon,Land,sprites/makuhita.png,M/D/Ni,22-26,Cliff Cave,,,28,False,9,False,
37,Cliff Cave 2F,Machoke,67,23,27,Black Belt,,Common,Land,sprites/machoke.png,D,23-27,Cliff Cave,,,28,False,9,False,
38,Cliff Cave 2F,Misdreavus,200,22,26,Spell Tag,,Uncommon,Land,sprites/misdreavus.png,M/D/Ni,22-26,Cliff Cave,,,28,False,9,False,
39,Cliff Cave 2F,Golbat,42,22,26,,,Common,Land,sprites/golbat.png,M/D/Ni,22-26,Cliff Cave,,,28,False,9,False,
40,Cliff Cave 2F,Graveler,75,22,26,Hard Stone,,Common,Land,sprites/graveler.png,M/D/Ni,22-26,Cliff Cave,,,28,False,9,False,
41,Cliff Cave 2F,Kingler,99,28,32,,,Common,Land,sprites/kingler.png,M/D/Ni,28-32,Cliff Cave,,,28,True,2,True,28-32
42,Cliff Cave 2F,Krabby,98,22,26,,,Common,Land,sprites/krabby.png,M/D/Ni,22-26,Cliff Cave,,,28,False,9,False,
43,Cliff Cave 2F,Quagsire,195,28,32,,,Uncommon,Land,sprites/quagsire.png,M/Ni,28-32,Cliff Cave,,,28,True,2,True,28-32
44,Cliff Cave 2F,Wooper,194,22,26,,,Common,Land,sprites/wooper.png,M/Ni,22-26,Cliff Cave,,,28,False,9,False,
45,Cliff Cave B1F,Geodude,74,23,23,Hard Stone,,Common,Land,sprites/geodude.png,M/D/Ni,23-23,Cliff Cave,,,28,False,3,False,
46,Cliff Cave B1F,Machop,66,28,32,Payapa Berry,,Common,Land,sprites/machop.png,D,28-32,Cliff Cave,,,28,True,8,False,
47,Cliff Cave B1F,Makuhita,296,28,32,Black Belt,,Common,Land,sprites/makuhita.png,M/D/Ni,28-32,Cliff Cave,,,28,True,8,False,
48,Cliff Cave B1F,Machoke,67,28,32,Payapa Berry,,Common,Land,sprites/machoke.png,D,28-32,Cliff Cave,,,28,True,8,False,
49,Cliff Cave B1F,Misdreavus,200,28,32,Spell Tag,,Uncommon,Land,sprites/misdreavus.png,M/D/Ni,28-32,Cliff Cave,,,28,True,8,False,
50,Cliff Cave B1F,Golbat,42,28,32,,,Common,Land,sprites/golbat.png,M/Ni,28-32,Cliff Cave,,,28,True,8,False,
51,Cliff Cave B1F,Shuppet,353,25,25,Spell Tag,,Uncommon,Land,sprites/shuppet.png,M/D/Ni,25-25,Cliff Cave,,,28,False,3,False,
52,Cliff Cave B1F,Duskull,355,28,32,Kasib Berry,,Uncommon,Land,sprites/duskull.png,M/D/Ni,28-32,Cliff Cave,,,28,True,8,False,
53,Cliff Cave B1F,Graveler,75,23,23,Hard Stone,,Common,Land,sprites/graveler.png,M/D/Ni,23-23,Cliff Cave,,,28,False,3,False,
54,Cliff Cave B1F,Kingler,99,28,32,,,Common,Land,sprites/kingler.png,M/D/Ni,28-32,Cliff Cave,,,28,True,8,False,
55,Cliff Cave B1F,Quagsire,195,28,32,,,Common,Land,sprites/quagsire.png,M/Ni,28-32,Cliff Cave,,,28,True,8,False,
56,Crystal Cavern,Geodude,74,25,31,,,Common,Land,sprites/geodude.png,M/D/Ni,25-31,Crystal Cavern,Crystal Cavern,,32,False,6,False,
57,Crystal Cavern,Meditite,307,32,38,,,Rare,Land,sprites/meditite.png,M/D/Ni,32-38,Crystal Cavern,Crystal Cavern,,32,True,1,True,32-38
58,Crystal Cavern,Golbat,42,25,31,,,Common,Land,sprites/golbat.png,M/D/Ni,25-31,Crystal Cavern,Crystal Cavern,,32,False,6,False,
59,Crystal Cavern,Swinub,220,25,31,,,Common,Land,sprites/swinub.png,M/D/Ni,25-31,Crystal Cavern,Crystal Cavern,,32,False,6,False,
60,Crystal Cavern,Marill,183,25,31,,,Uncommon,Land,sprites/marill.png,M/D/Ni,25-31,Crystal Cavern,Crystal Cavern,,32,False,6,False,
61,Crystal Cavern,Graveler,75,25,31,,,Common,Land,sprites/graveler.png,M/D/Ni,25-31,Crystal Cavern,Crystal Cavern,,32,False,6,False,
62,Crystal Cavern,Medicham,308,25,31,,,Rare,Land,sprites/medicham.png,M/D/Ni,25-31,Crystal Cavern,Crystal Cavern,,32,False,6,False,
63,Dark Cave North,Geodude,74,23,23,Hard Stone,,Common,Land,sprites/geodude.png,M/D/Ni,23-23,Dark Cave North,Dark Cave North,,44,False,1,False,
64,Dark Cave North,Makuhita,296,44,47,Black Belt,,Common,Land,sprites/makuhita.png,M/D/Ni,44-47,Dark Cave North,Dark Cave North,,44,True,5,False,
65,Dark Cave North,Golbat,42,44,47,,,Common,Land,sprites/golbat.png,M/D/Ni,44-47,Dark Cave North,Dark Cave North,,44,True,5,False,
66,Dark Cave North,Chingling,433,44,47,Colbur Berry,,Uncommon,Land,sprites/chingling.png,M/D/Ni,44-47,Dark Cave North,Dark Cave North,,44,True,5,False,
67,Dark Cave North,Bronzor,436,44,47,Metal Coat,,Common,Land,sprites/bronzor.png,M/D/Ni,44-47,Dark Cave North,Dark Cave North,,44,True,5,False,
68,Dark Cave North,Wobbuffet,202,44,47,,,Rare,Land,sprites/wobbuffet.png,M/D/Ni,44-47,Dark Cave North,Dark Cave North,,44,True,5,False,
69,Dark Cave South,Geodude,74,5,7,Hard Stone,,Common,Land,sprites/geodude.png,M/D/Ni,5-7,Dark Cave South,Dark Cave South,,8,False,5,False,
70,Dark Cave South,Makuhita,296,5,7,Black Belt,,Common,Land,sprites/makuhita.png,M/D/Ni,5-7,Dark Cave South,Dark Cave South,,8,False,5,False,
71,Dark Cave South,Zubat,41,5,7,,,Common,Land,sprites/zubat.png,M/D/Ni,5-7,Dark Cave South,Dark Cave South,,8,False,5,False,
72,Dark Cave South,Chingling,433,5,7,Colbur Berry,,Uncommon,Land,sprites/chingling.png,M/D/Ni,5-7,Dark Cave South,Dark Cave South,,8,False,5,False,
73,Dark Cave South,Sandile,551,8,11,Black Glasses,,Rare,Land,sprites/sandile.png,M/D/Ni,8-11,Dark Cave South,Dark Cave South,,8,True,1,True,8-11
74,Dark Cave South,Dunsparce,206,5,7,Mago Berry,,Common,Land,sprites/dunsparce.png,M/D/Ni,5-7,Dark Cave South,Dark Cave South,,8,False,5,False,
75,Diamond Domain 1F,Geodude,74,21,25,Hard Stone,,Common,Land,sprites/geodude.png,M/D/Ni,21-25,Diamond Domain,,,21,True,5,False,
76,Diamond Domain 1F,Makuhita,296,21,25,Black Belt,,Uncommon,Land,sprites/makuhita.png,M/D/Ni,21-25,Diamond Domain,,,21,True,5,False,
77,Diamond Domain 1F,Psyduck,54,21,25,,,Common,Land,sprites/psyduck.png,M/D/Ni,21-25,Diamond Domain,,,21,True,5,False,
78,Diamond Domain 1F,Mawile,303,21,25,,Required,Rare,Land,sprites/mawile.png,M/D/Ni,21-25,Diamond Domain,,,21,True,5,False,
79,Diamond Domain 1F,Woobat,527,21,25,,,Rare,Land,sprites/woobat.png,M/D/Ni,21-25,Diamond Domain,,,21,True,5,False,
80,Diamond Domain B1F,Geodude,74,21,25,Hard Stone,,Common,Land,sprites/geodude.png,M/D/Ni,21-25,Diamond Domain,,,21,True,5,False,
81,Diamond Domain B1F,Makuhita,296,21,25,Black Belt,,Uncommon,Land,sprites/makuhita.png,M/D/Ni,21-25,Diamond Domain,,,21,True,5,False,
82,Diamond Domain B1F,Psyduck,54,21,25,,,Common,Land,sprites/psyduck.png,M/D/Ni,21-25,Diamond Domain,,,21,True,5,False,
83,Diamond Domain B1F,Woobat,527,21,25,,,Rare,Land,sprites/woobat.png,M/D/Ni,21-25,Diamond Domain,,,21,True,5,False,
84,Diamond Domain B1F,Sableye,302,21,25,Scope Lens,,Rare,Land,sprites/sableye.png,M/D/Ni,21-25,Diamond Domain,,,21,True,5,False,
85,Diamond Domain Main Cave,Geodude,74,21,25,Hard Stone,,Common,Land,sprites/geodude.png,M/D/Ni,21-25,Diamond Domain Main Cave,Diamond Domain Main Cave,,27,False,4,False,
86,Diamond Domain Main Cave,Makuhita,296,21,25,Black Belt,,Uncommon,Land,sprites/makuhita.png,M/D/Ni,21-25,Diamond Domain Main Cave,Diamond Domain Main Cave,,27,False,4,False,
87,Diamond Domain Main Cave,Psyduck,54,21,25,,,Common,Land,sprites/psyduck.png,M/D/Ni,21-25,Diamond Domain Main Cave,Diamond Domain Main Cave,,27,False,4,False,
88,Diamond Domain Main Cave,Carbink,703,21,25,,Required,Rare,Land,sprites/carbink.png,M/D/Ni,21-25,Diamond Domain Main Cave,Diamond Domain Main Cave,,27,False,4,False,
89,Diamond Domain Main Cave,Vanillite,582,27,31,,,Rare,Land,sprites/vanillite.png,M/D/Ni,27-31,Diamond Domain Main Cave,Diamond Domain Main Cave,,27,True,1,True,27-31
90,Diamond Empire East Wing,Geodude,74,22,31,,,Common,Land,sprites/geodude.png,M/D/Ni,22-31,Diamond Empire East Wing,Diamond Empire East Wing,,22,True,15,False,
91,Diamond Empire East Wing,Geodude,74,22,23,,,Common,Land,sprites/geodude.png,M/D/Ni,22-23,Diamond Empire East Wing,Diamond Empire East Wing,,22,True,15,False,
92,Diamond Empire East Wing,Zubat,41,22,31,,,Common,Land,sprites/zubat.png,M/D/Ni,22-31,Diamond Empire East Wing,Diamond Empire East Wing,,22,True,15,False,
93,Diamond Empire East Wing,Golbat,42,22,31,,,Common,Land,sprites/golbat.png,M/D/Ni,22-31,Diamond Empire East Wing,Diamond Empire East Wing,,22,True,15,False,
94,Diamond Empire East Wing,Exeggcute,102,22,31,,,Uncommon,Land,sprites/exeggcute.png,M/D/Ni,22-31,Diamond Empire East Wing,Diamond Empire East Wing,,22,True,15,False,
95,Diamond Empire East Wing,Slowpoke,79,22,31,,,Common,Land,sprites/slowpoke.png,M/D/Ni,22-31,Diamond Empire East Wing,Diamond Empire East Wing,,22,True,15,False,
96,Diamond Empire East Wing,Diglett,50,22,31,,,Common,Land,sprites/diglett.png,M/D/Ni,22-31,Diamond Empire East Wing,Diamond Empire East Wing,,22,True,15,False,
97,Diamond Empire East Wing,Nosepass,299,22,31,,,Rare,Land,sprites/nosepass.png,M/D/Ni,22-31,Diamond Empire East Wing,Diamond Empire East Wing,,22,True,15,False,
98,Diamond Empire East Wing,Swinub,220,22,27,,,Common,Land,sprites/swinub.png,M/D/Ni,22-27,Diamond Empire East Wing,Diamond Empire East Wing,,22,True,15,False,
99,Diamond Empire East Wing,Rhyhorn,111,22,31,,,Uncommon,Land,sprites/rhyhorn.png,M/D/Ni,22-31,Diamond Empire East Wing,Diamond Empire East Wing,,22,True,15,False,
100,Diamond Empire East Wing,Wooper,194,22,31,,,Common,Land,sprites/wooper.png,M/D/Ni,22-31,Diamond Empire East Wing,Diamond Empire East Wing,,22,True,15,False,
101,Diamond Empire East Wing,Sandile,551,22,31,,Required,Rare,Land,sprites/sandile.png,M/D/Ni,22-31,Diamond Empire East Wing,Diamond Empire East Wing,,22,True,15,False,
102,Diamond Empire East Wing,Drilbur,529,22,31,,,Rare,Land,sprites/drilbur.png,M/D/Ni,22-31,Diamond Empire East Wing,Diamond Empire East Wing,,22,True,15,False,
103,Diamond Empire East Wing,Scraggy,559,22,31,,Required,Rare,Land,sprites/scraggy.png,M/D/Ni,22-31,Diamond Empire East Wing,Diamond Empire East Wing,,22,True,15,False,
104,Diamond Empire East Wing,Scraggy,559,22,30,,Required,Rare,Land,sprites/scraggy.png,M/D/Ni,22-30,Diamond Empire East Wing,Diamond Empire East Wing,,22,True,15,False,
105,Dragonspiral Tower 5F,Geodude,74,25,31,,,Common,Land,sprites/geodude.png,M/D/Ni,25-31,Dragonspiral Tower,,,25,True,8,False,
106,Dragonspiral Tower 5F,Sandshrew,27,25,31,,,Common,Land,sprites/sandshrew.png,M/D/Ni,25-31,Dragonspiral Tower,,,25,True,8,False,
107,Dragonspiral Tower 5F,Teddiursa,216,25,31,,,Common,Land,sprites/teddiursa.png,M/D/Ni,25-31,Dragonspiral Tower,,,25,True,8,False,
108,Dragonspiral Tower 5F,Zubat,41,25,31,,,Common,Land,sprites/zubat.png,M/D/Ni,25-31,Dragonspiral Tower,,,25,True,8,False,
109,Dragonspiral Tower 5F,Rhyhorn,111,25,31,,,Uncommon,Land,sprites/rhyhorn.png,M/D/Ni,25-31,Dragonspiral Tower,,,25,True,8,False,
110,Dragonspiral Tower 5F,Axew,610,25,31,,,Rare,Land,sprites/axew.png,M/D/Ni,25-31,Dragonspiral Tower,,,25,True,8,False,
111,Dragonspiral Tower 5F,Deerling,585,25,31,,,Rare,Land,sprites/deerling.png,M/D/Ni,25-31,Dragonspiral Tower,,,25,True,8,False,
112,Dragonspiral Tower 5F,Pansage,511,25,31,,,Uncommon,Land,sprites/pansage.png,M/D/Ni,25-31,Dragonspiral Tower,,,25,True,8,False,
113,Dragonspiral Tower Exterior,Geodude,74,21,25,,,Common,Land,sprites/geodude.png,M/D/Ni,21-25,Dragonspiral Tower Exterior,Dragonspiral Tower Exterior,,21,True,8,False,
114,Dragonspiral Tower Exterior,Starly,396,21,25,,,Common,Land,sprites/starly.png,M/D/Ni,21-25,Dragonspiral Tower Exterior,Dragonspiral Tower Exterior,,21,True,8,False,
115,Dragonspiral Tower Exterior,Haunter,93,21,25,,,Common,Land,sprites/haunter.png,M/D/Ni,21-25,Dragonspiral Tower Exterior,Dragonspiral Tower Exterior,,21,True,8,False,
116,Dragonspiral Tower Exterior,Golett,622,21,25,,,Rare,Land,sprites/golett.png,M/D/Ni,21-25,Dragonspiral Tower Exterior,Dragonspiral Tower Exterior,,21,True,8,False,
117,Dragonspiral Tower Exterior,Mienfoo,619,21,25,,,Rare,Land,sprites/mienfoo.png,M/D/Ni,21-25,Dragonspiral Tower Exterior,Dragonspiral Tower Exterior,,21,True,8,False,
118,Dragonspiral Tower Exterior,Magneton,82,21,25,,,Common,Land,sprites/magneton.png,M/D/Ni,21-25,Dragonspiral Tower Exterior,Dragonspiral Tower Exterior,,21,True,8,False,
119,Dragonspiral Tower Exterior,Pansear,513,21,25,,,Uncommon,Land,sprites/pansear.png,M/D/Ni,21-25,Dragonspiral Tower Exterior,Dragonspiral Tower Exterior,,21,True,8,False,
120,Dragonspiral Tower Exterior,Pansage,511,21,25,,,Uncommon,Land,sprites/pansage.png,M/D/Ni,21-25,Dragonspiral Tower Exterior,Dragonspiral Tower Exterior,,21,True,8,False,
121,Eindoak Town,Geodude,74,25,31,,,Common,Land,sprites/geodude.png,M/D/Ni,25-31,Eindoak Town,Eindoak Town,,25,True,8,False,
122,Eindoak Town,Machoke,67,25,31,,,Common,Land,sprites/machoke.png,M/D/Ni,25-31,Eindoak Town,Eindoak Town,,25,True,8,False,
123,Eindoak Town,Nuzleaf,274,25,31,,,Uncommon,Land,sprites/nuzleaf.png,M/D/Ni,25-31,Eindoak Town,Eindoak Town,,25,True,8,False,
124,Eindoak Town,Gothita,574,25,31,,,Rare,Land,sprites/gothita.png,M/D/Ni,25-31,Eindoak Town,Eindoak Town,,25,True,8,False,
125,Eindoak Town,Clefairy,35,25,31,,,Common,Land,sprites/clefairy.png,M/D/Ni,25-31,Eindoak Town,Eindoak Town,,25,True,8,False,
126,Eindoak Town,Marill,183,25,31,,,Uncommon,Land,sprites/marill.png,M/D/Ni,25-31,Eindoak Town,Eindoak Town,,25,True,8,False,
127,Eindoak Town,Furfrou,676,25,31,,,Rare,Land,sprites/furfrou.png,M/D/Ni,25-31,Eindoak Town,Eindoak Town,,25,True,8,False,
128,Eindoak Town,Hariyama,297,25,31,,,Uncommon,Land,sprites/hariyama.png,M/D/Ni,25-31,Eindoak Town,Eindoak Town,,25,True,8,False,
129,Forest Maze Underground,Geodude,74,25,31,,,Common,Land,sprites/geodude.png,M/D/Ni,25-31,Forest Maze Underground,Forest Maze Underground,,25,True,7,False,
130,Forest Maze Underground,Sandshrew,27,25,31,,,Common,Land,sprites/sandshrew.png,M/D/Ni,25-31,Forest Maze Underground,Forest Maze Underground,,25,True,7,False,
131,Forest Maze Underground,Bellsprout,69,25,31,,,Common,Land,sprites/bellsprout.png,M/D/Ni,25-31,Forest Maze Underground,Forest Maze Underground,,25,True,7,False,
132,Forest Maze Underground,Weepinbell,70,25,31,,,Common,Land,sprites/weepinbell.png,M/D/Ni,25-31,Forest Maze Underground,Forest Maze Underground,,25,True,7,False,
133,Forest Maze Underground,Graveler,75,25,31,,,Common,Land,sprites/graveler.png,M/D/Ni,25-31,Forest Maze Underground,Forest Maze Underground,,25,True,7,False,
134,Forest Maze Underground,Roggenrola,524,25,31,,,Rare,Land,sprites/roggenrola.png,M/D/Ni,25-31,Forest Maze Underground,Forest Maze Underground,,25,True,7,False,
135,Forest Maze Underground,Gigalith,526,25,31,,,Rare,Land,sprites/gigalith.png,M/D/Ni,25-31,Forest Maze Underground,Forest Maze Underground,,25,True,7,False,
136,Granite Cave 1F,Geodude,74,9,13,Hard Stone,,Common,Land,sprites/geodude.png,M/D/Ni,9-13,Granite Cave,,,15,False,6,False,
137,Granite Cave 1F,Makuhita,296,9,13,Black Belt,,Common,Land,sprites/makuhita.png,M/D/Ni,9-13,Granite Cave,,,15,False,6,False,
138,Granite Cave 1F,Zubat,41,9,13,,,Common,Land,sprites/zubat.png,M/D/Ni,9-13,Granite Cave,,,15,False,6,False,
139,Granite Cave 1F,Diglett,50,9,13,Soft Sand,,Common,Land,sprites/diglett.png,M/D/Ni,9-13,Granite Cave,,,15,False,6,False,
140,Granite Cave 1F,Abra,63,9,13,TwistedSpoon,,Uncommon,Land,sprites/abra.png,M/D/Ni,9-13,Granite Cave,,,15,False,6,False,
141,Granite Cave 1F,Rhyhorn,111,9,13,Protector,,Uncommon,Land,sprites/rhyhorn.png,M/D/Ni,9-13,Granite Cave,,,15,False,6,False,
142,Granite Cave 1F,Timburr,532,15,18,,Required,Rare,Land,sprites/timburr.png,M/D/Ni,15-18,Granite Cave,,,15,True,1,True,15-18
143,Granite Cave 1F2,Geodude,74,12,14,,,Common,Land,sprites/geodude.png,M/D/Ni,12-14,Granite Cave,,,12,True,4,False,
144,Granite Cave 1F2,Makuhita,296,12,14,Black Belt,,Uncommon,Land,sprites/makuhita.png,M/D/Ni,12-14,Granite Cave,,,12,True,4,False,
145,Granite Cave 1F2,Zubat,41,12,14,,,Common,Land,sprites/zubat.png,M/D/Ni,12-14,Granite Cave,,,12,True,4,False,
146,Granite Cave 1F2,Abra,63,12,14,TwistedSpoon,,Uncommon,Land,sprites/abra.png,M/D/Ni,12-14,Granite Cave,,,12,True,4,False,
147,Granite Cave B1F,Geodude,74,12,14,,,Common,Land,sprites/geodude.png,M/D/Ni,12-14,Granite Cave,,,16,False,7,False,
148,Granite Cave B1F,Makuhita,296,12,14,Black Belt,,Uncommon,Land,sprites/makuhita.png,M/D/Ni,12-14,Granite Cave,,,16,False,7,False,
149,Granite Cave B1F,Zubat,41,12,14,,,Common,Land,sprites/zubat.png,M/D/Ni,12-14,Granite Cave,,,16,False,7,False,
150,Granite Cave B1F,Aron,304,12,14,Hard Stone,,Rare,Land,sprites/aron.png,D,12-14,Granite Cave,,,16,False,7,False,
151,Granite Cave B1F,Onix,95,12,14,Hard Stone,,Uncommon,Land,sprites/onix.png,M/D/Ni,12-14,Granite Cave,,,16,False,7,False,
152,Granite Cave B1F,Abra,63,12,14,TwistedSpoon,,Uncommon,Land,sprites/abra.png,M/D/Ni,12-14,Granite Cave,,,16,False,7,False,
153,Granite Cave B1F,Axew,610,16,18,,,Rare,Land,sprites/axew.png,M/Ni,16-18,Granite Cave,,,16,True,1,True,16-18
154,Granite Cave B1F,Whismur,293,12,14,Chesto Berry,,Common,Land,sprites/whismur.png,M/D/Ni,12-14,Granite Cave,,,16,False,7,False,
155,Granite Cave B2F,Geodude,74,12,14,,,Common,Land,sprites/geodude.png,M/D/Ni,12-14,Granite Cave,,,12,True,8,False,
156,Granite Cave B2F,Makuhita,296,12,14,Black Belt,,Uncommon,Land,sprites/makuhita.png,M/D/Ni,12-14,Granite Cave,,,12,True,8,False,
157,Granite Cave B2F,Zubat,41,12,14,,,Common,Land,sprites/zubat.png,M/D/Ni,12-14,Granite Cave,,,12,True,8,False,
158,Granite Cave B2F,Nosepass,299,12,14,Hard Stone,,Rare,Land,sprites/nosepass.png,M/D/Ni,12-14,Granite Cave,,,12,True,8,False,
159,Granite Cave B2F,Onix,95,12,14,Hard Stone,,Uncommon,Land,sprites/onix.png,M/D/Ni,12-14,Granite Cave,,,12,True,8,False,
160,Granite Cave B2F,Abra,63,12,14,TwistedSpoon,,Uncommon,Land,sprites/abra.png,M/D/Ni,12-14,Granite Cave,,,12,True,8,False,
161,Granite Cave B2F,Mawile,303,12,14,,,Rare,Land,sprites/mawile.png,D,12-14,Granite Cave,,,12,True,8,False,
162,Granite Cave B2F,Sableye,302,12,14,Scope Lens,,Rare,Land,sprites/sableye.png,M/Ni,12-14,Granite Cave,,,12,True,8,False,
163,Hoenn Safari Zone Area 4,Geodude,74,18,22,Hard Stone,,Common,Land,sprites/geodude.png,M/D/Ni,18-22,Hoenn Safari Zone Area,,,28,False,6,False,
164,Hoenn Safari Zone Area 4,Trapinch,328,28,32,Soft Sand,,Rare,Land,sprites/trapinch.png,D,28-32,Hoenn Safari Zone Area,,,28,True,6,False,
165,Hoenn Safari Zone Area 4,Teddiursa,216,28,32,,,Common,Land,sprites/teddiursa.png,M/D/Ni,28-32,Hoenn Safari Zone Area,,,28,True,6,False,
166,Hoenn Safari Zone Area 4,Shuppet,353,20,25,Spell Tag,,Uncommon,Land,sprites/shuppet.png,Ni,20-25,Hoenn Safari Zone Area,,,28,False,6,False,
