Map,Pokemon,DexID,Morning,Day,Night,MinLvl,MaxLvl,Item,Member,Tier,Fishing,FishingOnly,RequiredRod
Alto Mare Secret Garden,Horsea,116,1,1,1,10,15,Dragon Scale,0,Common,0,0,
Alto Mare Secret Garden,Magikarp,129,1,1,1,10,15,,0,Common,0,0,
Alto Mare Secret Garden,Poliwhirl,61,1,1,1,10,15,Kings Rock,0,Common,0,0,
Alto Mare Secret Garden,Psyduck,54,1,1,1,10,15,,0,Common,0,0,
Alto Mare Secret Garden,Remoraid,223,1,1,1,10,15,Starf Berry,0,Uncommon,0,0,
Alto Mare Secret Garden,Wingull,278,1,1,1,10,15,,0,Common,0,0,
Alto Mare West Avenue,Goldeen,118,1,1,1,5,5,,0,Common,0,0,
Alto Mare West Avenue,Poliwag,60,1,1,1,5,5,,0,Common,0,0,
Alto Mare West Avenue,Surskit,283,1,1,1,5,5,SilverPowder,0,Common,0,0,
Amazon Forest,Krabby,98,1,1,1,10,14,,0,Common,1,0,Old Rod
Amazon Forest,Poliwag,60,0,0,1,10,14,Kings Rock,0,Common,1,0,Good Rod
Amazon Forest,Wooper,194,1,1,1,10,14,,0,Common,1,0,Good Rod
Amity Square,Azurill,298,1,1,1,17,20,,0,Uncommon,0,0,
Amity Square,Buizel,418,1,1,1,17,20,,0,Uncommon,0,0,
Amity Square,Clamperl,366,1,1,1,17,20,Deep Sea Tooth,0,Uncommon,0,0,
Amity Square,Lanturn,171,1,1,1,17,20,,0,Uncommon,0,0,
Amity Square,Marill,183,1,1,1,17,20,,0,Uncommon,0,0,
Amity Square,Poliwag,60,1,1,1,17,20,Kings Rock,0,Common,0,0,
Amity Square,Psyduck,54,1,1,1,17,20,,0,Common,0,0,
Amity Square,Shellos,422,1,1,1,17,20,,0,Rare,0,0,
Angel Hill,Koffing,109,1,1,1,20,22,Smoke Ball,0,Common,0,0,
Angel Hill,Magikarp,129,1,1,1,20,24,,0,Common,0,0,
Angel Hill,Marill,183,1,1,1,20,24,,0,Uncommon,0,0,
Angel Hill,Sealeo,364,1,1,1,20,24,Passho Berry,0,Uncommon,0,0,
Angel Hill,Spheal,363,1,1,1,20,24,,0,Uncommon,0,0,
Angel Hill,Squirtle,7,1,1,1,20,24,,0,Rare,0,0,
Angel Hill,Togetic,176,1,1,1,20,24,,0,Rare,0,0,
Aphrodia Island,Alomomola,594,1,1,1,30,35,,0,Rare,0,0,
Aphrodia Island,Chinchou,170,1,1,1,30,35,Apicot Berry,0,Common,0,0,
Aphrodia Island,Corsola,222,1,1,1,30,35,Hard Stone,0,Uncommon,0,0,
Aphrodia Island,Lapras,131,1,1,1,21,26,,0,Rare,0,0,
Aphrodia Island,Lotad,270,1,1,1,30,35,Mental Herb,0,Common,0,0,
Aphrodia Island,Luvdisc,370,1,1,1,28,33,,0,Uncommon,0,0,
Aphrodia Island,Seel,86,1,1,1,30,35,Aspear Berry,0,Common,0,0,
Aphrodia Island,Slowpoke,79,1,1,1,30,35,Lagging Tail,0,Common,0,0,
Battle Tower,Buizel,418,1,1,1,40,45,,0,Uncommon,0,0,
Battle Tower,Corphish,341,1,1,1,40,45,Mystic Water,1,Rare,0,0,
Battle Tower,Finneon,456,1,1,1,40,45,,0,Uncommon,0,0,
Battle Tower,Goldeen,118,1,1,1,40,45,,0,Common,0,0,
Battle Tower,Lumineon,457,1,1,1,40,45,Rindo Berry,0,Uncommon,0,0,
Battle Tower,Magikarp,129,1,1,1,40,45,,0,Common,0,0,
Battle Tower,Panpour,515,1,1,1,40,45,Rindo Berry,0,Uncommon,0,0,
Battle Tower,Seaking,119,1,1,1,40,45,,0,Common,0,0,
Battle Tower,Swablu,333,1,1,1,38,41,,0,Rare,0,0,
Berry Forest,Golduck,55,1,1,1,45,50,,0,Common,1,0,Good Rod
Berry Forest,Magikarp,129,0,0,1,45,50,,0,Common,1,0,Old Rod
Berry Forest,Marill,183,1,1,1,45,50,,0,Uncommon,1,0,Super Rod
Berry Forest,Poliwag,60,0,0,1,45,50,Kings Rock,0,Common,1,0,Super Rod
Berry Forest,Psyduck,54,1,1,1,45,50,,0,Common,1,0,Old Rod
Berry Forest,Slowbro,80,1,1,1,45,50,,0,Uncommon,1,0,Super Rod
Blackthorn City,Chinchou,170,0,1,0,42,46,,0,Common,0,0,
Blackthorn City,Poliwag,60,0,0,1,42,46,,0,Common,0,0,
Blackthorn City,Seel,86,1,0,0,42,46,,0,Common,0,0,
Bond Bridge,Gyarados,130,1,1,1,29,37,,0,Uncommon,1,0,Super Rod
Bond Bridge,Horsea,116,1,1,1,29,37,Dragon Scale,0,Common,1,0,Good Rod
Bond Bridge,Krabby,98,1,1,1,29,37,,0,Common,1,0,Old Rod
Bond Bridge,Magikarp,129,1,0,1,29,37,,0,Common,1,1,Old Rod
Bond Bridge,Seadra,117,1,1,1,29,37,,0,Uncommon,1,0,Super Rod
Bond Bridge,Slowpoke,79,1,1,1,29,37,,0,Common,1,0,Old Rod
Bond Bridge,Tentacool,72,1,1,1,29,37,,0,Common,1,0,Old Rod
Bond Bridge,Tentacruel,73,1,1,1,29,37,,0,Common,1,0,Good Rod
Breakers Beach,Feebas,349,1,1,1,25,29,Prism Scale,0,Rare,0,0,
Breakers Beach,Finneon,456,1,1,1,25,29,Rindo Berry,0,Uncommon,0,0,
Breakers Beach,Relicanth,369,1,1,1,30,30,Deep Sea Scale,0,Rare,0,0,
Breakers Beach,Remoraid,223,1,1,1,25,29,Starf Berry,0,Uncommon,0,0,
Breakers Beach,Slowbro,80,1,1,1,25,29,Kings Rock,0,Common,0,0,
Breakers Beach,Slowpoke,79,1,1,1,25,29,Lagging Tail,0,Common,0,0,
Breakers Beach,Wingull,278,1,1,1,25,29,,0,Common,0,0,
Breakers Trench Underwater,Chinchou,170,1,1,1,35,39,Deep Sea Scale,0,Common,0,0,
Breakers Trench Underwater,Clamperl,366,1,1,1,35,39,Deep Sea Tooth,0,Uncommon,0,0,
Breakers Trench Underwater,Kingler,99,1,1,1,35,39,,0,Common,0,0,
Breakers Trench Underwater,Krabby,98,1,1,1,35,39,,0,Common,0,0,
Breakers Trench Underwater,Magikarp,129,1,1,1,35,39,,0,Common,0,0,
Breakers Trench Underwater,Relicanth,369,1,1,1,35,39,,0,Rare,0,0,
Breakers Trench Underwater,Tynamo,602,1,1,1,35,39,,0,Rare,0,0,
Breezy Falls,Azurill,298,1,1,1,18,23,,0,Rare,0,0,
Breezy Falls,Barboach,339,1,1,1,18,23,,0,Uncommon,0,0,
Breezy Falls,Carvanha,318,1,1,1,18,23,,0,Uncommon,0,0,
Breezy Falls,Chinchou,170,1,1,1,18,23,Deep Sea Scale,0,Common,0,0,
Breezy Falls,Clamperl,366,1,1,1,18,23,Deep Sea Tooth,0,Uncommon,0,0,
Breezy Falls,Feebas,349,1,1,1,18,23,Prism Scale,0,Rare,0,0,
Breezy Falls,Horsea,116,1,1,1,18,23,Dragon Scale,0,Common,0,0,
Breezy Falls,Krabby,98,1,1,1,18,23,,0,Common,0,0,
Breezy Falls,Mantyke,458,0,0,1,18,23,,0,Uncommon,0,0,
Breezy Falls,Shellder,90,1,1,0,18,23,,0,Rare,0,0,
Breezy Falls,Staryu,120,1,0,1,18,23,,0,Rare,0,0,
Breezy Garden,Alomomola,594,1,1,0,21,25,,0,Rare,0,0,
Breezy Garden,Feebas,349,0,1,0,21,25,,0,Rare,0,0,
Breezy Garden,Lapras,131,1,0,1,21,25,,0,Rare,0,0,
Breezy Garden,Marill,183,1,1,1,21,25,,0,Uncommon,0,0,
Breezy Garden,Pelipper,279,1,1,1,21,25,,0,Common,0,0,
Breezy Garden,Poliwag,60,1,1,1,21,25,,0,Common,0,0,
Breezy Garden,Slowpoke,79,1,1,1,21,25,,0,Common,0,0,
Breezy Garden,Wooper,194,1,1,1,21,25,,0,Common,0,0,
Breezy Garden Underwater,Clamperl,366,1,1,1,21,25,Deep Sea Tooth,0,Uncommon,0,0,
Breezy Garden Underwater,Corsola,222,1,1,1,21,25,,0,Uncommon,0,0,
Breezy Garden Underwater,Gorebyss,368,1,1,1,21,25,Deep Sea Scale,0,Rare,0,0,
Breezy Garden Underwater,Huntail,367,1,1,1,21,25,Deep Sea Tooth,0,Rare,0,0,
Breezy Garden Underwater,Lanturn,171,1,1,1,21,25,,0,Common,0,0,
Breezy Garden Underwater,Relicanth,369,1,1,1,21,25,,0,Rare,0,0,
Breezy Garden Underwater,Shellder,90,1,1,1,21,25,,0,Rare,0,0,
Breezy Garden Underwater,Wooper,194,1,1,1,21,25,,0,Common,0,0,
Breezy Path,Azurill,298,1,1,1,17,21,,0,Rare,0,0,
Breezy Path,Corphish,341,1,1,0,17,21,,0,Rare,0,0,
Breezy Path,Dratini,147,1,0,1,21,21,,1,Rare,0,0,
Breezy Path,Feebas,349,0,1,0,17,21,Prism Scale,0,Rare,0,0,
Breezy Path,Finneon,456,1,1,1,17,21,,0,Uncommon,0,0,
Breezy Path,Magikarp,129,1,1,1,17,21,Spring Brush Blue,0,Common,0,0,
Breezy Path,Mantyke,458,1,1,1,17,21,,0,Uncommon,0,0,
Breezy Path,Tentacool,72,1,1,1,17,21,,0,Common,0,0,
Buring Strait Underwater,Finneon,456,1,1,1,25,31,,0,Uncommon,0,0,
Buring Strait Underwater,Frillish,592,1,1,1,25,31,,0,Rare,0,0,
Buring Strait Underwater,Jellicent,593,1,1,1,25,31,,0,Rare,0,0,
Buring Strait Underwater,Magikarp,129,1,1,1,25,31,,0,Common,0,0,
Buring Strait Underwater,Relicanth,369,1,1,1,25,31,,0,Rare,0,0,
Buring Strait Underwater,Shellder,90,1,1,1,25,31,,0,Uncommon,0,0,
Buring Strait Underwater,Tentacool,72,1,1,1,25,31,,0,Common,0,0,
Buring Strait Underwater,Tentacruel,73,1,1,1,25,31,,0,Uncommon,0,0,
Burring Strait Under water,Dhelmise,781,1,1,1,25,31,,0,Rare,0,0,
Burring Strait Under water,Golduck,55,1,1,1,25,31,,0,Common,0,0,
Burring Strait Under water,Marill,183,1,1,1,25,31,,0,Uncommon,0,0,
Burring Strait Under water,Mudkip,258,1,1,1,25,31,,0,Rare,0,0,
Burring Strait Under water,Tentacool,72,1,1,1,25,31,,0,Common,0,0,
Burring Strait Under water,Tentacruel,73,1,1,1,25,31,,0,Common,0,0,
Burring Strait Under water,Vaporeon,134,1,1,1,25,31,,0,Rare,0,0,
Cape Brink,Goldeen,118,1,1,1,30,37,,0,Common,1,0,Old Rod
Cape Brink,Golduck,55,1,1,1,30,37,,0,Common,1,0,Good Rod
Cape Brink,Gyarados,130,1,1,1,30,37,,0,Uncommon,1,1,Super Rod
Cape Brink,Magikarp,129,1,1,1,30,37,,0,Common,1,1,Old Rod
Cape Brink,Psyduck,54,1,1,1,30,37,,0,Common,1,0,Old Rod
Cape Brink,Shellder,90,1,0,0,30,37,,0,Uncommon,1,1,Super Rod
Cape Brink,Slowbro,80,1,1,1,30,37,,0,Uncommon,1,0,Good Rod
Cape Brink,Slowpoke,79,1,1,1,30,37,,0,Common,1,0,Old Rod
Cape Brink,Staryu,120,0,0,1,10,17,,0,Uncommon,1,1,Super Rod
Cape Of Palpatoo,Alomomola,594,1,1,1,35,39,,0,Rare,0,0,
Cape Of Palpatoo,Carvanha,318,1,1,1,35,39,,0,Uncommon,0,0,
Cape Of Palpatoo,Corsola,222,1,1,1,35,39,,0,Common,0,0,
Cape Of Palpatoo,Luvdisc,370,1,1,1,35,39,,0,Uncommon,0,0,
Cape Of Palpatoo,Qwilfish,211,1,1,1,35,39,,0,Uncommon,0,0,
Cape Of Palpatoo,Swablu,333,1,1,1,35,39,,0,Rare,0,0,
Cape Of Palpatoo,Wingull,278,1,1,1,35,39,,0,Common,0,0,
Cave Of Justice,Barboach,339,1,1,1,26,30,,0,Uncommon,0,0,
Cave Of Justice,Golbat,42,1,1,1,26,30,,0,Common,0,0,
Cave Of Justice,Goldeen,118,1,1,1,26,30,,0,Common,0,0,
Cave Of Justice,Magikarp,129,1,1,1,26,30,,0,Common,0,0,
Cave Of Justice,Marill,183,1,1,1,26,30,,0,Uncommon,0,0,
Cave Of Justice,Noibat,714,1,0,1,26,30,,1,Rare,0,0,
Cave Of Justice,Zubat,41,1,1,1,26,30,,0,Common,0,0,
Celadon City,Goldeen,118,1,1,1,10,15,,0,Common,1,1,Super Rod
Celadon City,Grimer,88,1,1,1,15,33,Smoke Ball,0,Common,1,0,Super Rod
Celadon City,Koffing,109,1,1,1,15,22,Smoke Ball,0,Common,0,0,
Celadon City,Magikarp,129,1,1,1,10,15,,0,Common,1,1,Old Rod
Celadon City,Muk,89,1,1,1,15,33,,0,Common,0,0,
Celadon City,Poliwag,60,0,0,1,10,15,Kings Rock,0,Common,1,1,Old Rod
Celadon City,Slowpoke,79,1,1,1,10,15,,0,Common,1,1,Super Rod
Cerulean Cave 1F,Goldeen,118,1,1,1,60,64,,0,Common,1,1,Good Rod
Cerulean Cave 1F,Golduck,55,1,1,1,60,64,,0,Common,0,0,
Cerulean Cave 1F,Gyarados,130,1,1,1,60,64,,0,Common,1,1,Super Rod
Cerulean Cave 1F,Kingler,99,1,1,1,60,64,,0,Common,1,1,Super Rod
Cerulean Cave 1F,Poliwag,60,1,1,1,60,64,Kings Rock,0,Common,1,1,Good Rod
Cerulean Cave 1F,Poliwhirl,61,1,1,1,60,64,,0,Common,1,1,Super Rod
Cerulean Cave 1F,Psyduck,54,1,1,1,60,64,,0,Common,1,0,Super Rod
Cerulean Cave 1F,Seadra,117,1,1,1,60,64,,0,Common,1,1,Super Rod
Cerulean Cave 1F,Seaking,119,1,1,1,60,64,,0,Uncommon,1,1,Super Rod
Cerulean Cave 1F,Slowbro,80,1,1,1,60,64,,0,Uncommon,0,0,
Cerulean Cave 1F,Slowpoke,79,1,1,1,60,64,,0,Common,1,0,Super Rod
Cerulean Cave B1F,Goldeen,118,1,1,1,55,61,,0,Common,1,1,Good Rod
Cerulean Cave B1F,Golduck,55,1,1,1,58,62,,0,Common,0,0,
Cerulean Cave B1F,Gyarados,130,1,1,1,58,62,,0,Common,1,1,Super Rod
Cerulean Cave B1F,Kingler,99,1,1,1,55,62,,0,Common,1,1,Super Rod
Cerulean Cave B1F,Magikarp,129,1,1,1,5,15,,0,Common,1,1,Old Rod
Cerulean Cave B1F,Poliwag,60,1,1,1,55,57,Kings Rock,0,Common,1,1,Good Rod
Cerulean Cave B1F,Poliwhirl,61,1,1,1,58,62,,0,Common,1,1,Super Rod
Cerulean Cave B1F,Psyduck,54,1,1,1,55,59,,0,Common,1,0,Super Rod
Cerulean Cave B1F,Seadra,117,1,1,1,58,62,,0,Uncommon,1,1,Super Rod
Cerulean Cave B1F,Seaking,119,1,1,1,58,62,,0,Uncommon,1,1,Super Rod
Cerulean Cave B1F,Slowbro,80,1,1,1,55,61,,0,Uncommon,0,0,
Cerulean Cave B1F,Slowpoke,79,1,1,1,55,61,,0,Common,1,0,Super Rod
Cerulean City,Goldeen,118,1,1,1,11,15,,0,Common,1,0,Old Rod
Cerulean City,Krabby,98,1,1,1,11,15,,0,Common,1,0,Old Rod
Cerulean City,Magikarp,129,1,1,1,11,15,,0,Common,1,1,Old Rod
Cerulean City,Wooper,194,1,1,1,8,12,,0,Common,0,0,
Cherrygrove City,Corsola,222,1,1,0,10,14,,0,Uncommon,1,0,Good Rod
Cherrygrove City,Staryu,120,0,0,1,10,14,,0,Uncommon,1,1,Super Rod
Cherrygrove City,Tentacool,72,1,1,1,10,14,,0,Common,1,0,Old Rod
Cherrygrove City,Tentacruel,73,1,1,1,10,14,,0,Common,1,0,Super Rod
Cherrygrove City,Wailmer,320,1,1,1,10,14,,1,Uncommon,1,0,Super Rod
Chrono Cross,Gyarados,130,1,1,1,15,25,,0,Uncommon,1,0,Super Rod
Chrono Cross,Hoppip,187,1,1,0,5,25,,0,Common,1,0,Good Rod
Chrono Cross,Horsea,116,1,1,1,5,25,Dragon Scale,0,Common,1,0,Good Rod
Chrono Cross,Krabby,98,1,1,1,5,25,,0,Common,1,0,Old Rod
Chrono Cross,Magikarp,129,1,1,1,5,25,,0,Common,1,1,Old Rod
Chrono Cross,Mantyke,458,1,0,0,5,25,,0,Uncommon,1,1,Super Rod
Chrono Cross,Seadra,117,1,1,1,15,25,,0,Uncommon,1,0,Super Rod
Chrono Cross,Shellder,90,1,1,0,5,25,,0,Uncommon,1,1,Super Rod
Chrono Cross,Slowpoke,79,1,1,1,5,25,,0,Common,1,0,Old Rod
Cianwood City,Corsola,222,1,1,1,30,35,Hard Stone,0,Uncommon,1,0,Good Rod
Cianwood City,Krabby,98,1,1,1,30,35,,0,Common,1,0,Old Rod
Cianwood City,Octillery,224,1,1,1,30,35,Starf Berry,0,Uncommon,1,0,Old Rod
Cianwood City,Remoraid,223,1,1,1,30,35,Starf Berry,0,Uncommon,1,0,Old Rod
Cianwood City,Staryu,120,0,0,1,30,35,Water Stone,0,Rare,1,0,Super Rod
Cianwood City,Tentacool,72,1,1,1,30,35,Poison Barb,0,Common,1,0,Old Rod
Cianwood City,Tentacruel,73,1,1,1,30,35,Poison Barb,0,Common,1,0,Old Rod
Cinnabar Island,Carvanha,318,1,1,1,37,39,Deep Sea Tooth,1,Uncommon,1,0,Good Rod
Cinnabar Island,Corphish,341,1,1,1,37,39,Mystic Water,1,Rare,1,0,Super Rod
Cinnabar Island,Corsola,222,1,1,1,37,39,,0,Uncommon,1,0,Good Rod
Cinnabar Island,Goldeen,118,1,1,1,37,39,,0,Common,1,0,Old Rod
Cinnabar Island,Krabby,98,1,1,1,37,39,,0,Common,1,0,Old Rod
Cinnabar Island,Magikarp,129,1,1,1,37,39,,0,Common,1,0,Old Rod
Cinnabar Island,Staryu,120,0,0,1,37,39,,0,Rare,1,0,Super Rod
Cinnabar Island,Tentacool,72,1,1,1,37,39,,0,Common,1,0,Old Rod
Cliff Edge Gate,Horsea,116,1,1,1,28,32,Dragon Scale,0,Uncommon,1,0,Good Rod
Cliff Edge Gate,Krabby,98,1,1,1,28,32,,0,Common,1,0,Old Rod
Cliff Edge Gate,Magikarp,129,1,1,1,28,32,,0,Common,1,1,Old Rod
Cliff Edge Gate,Poliwag,60,1,0,1,28,32,Kings Rock,0,Common,1,1,Good Rod
Corsica Island,Barboach,339,1,1,1,15,19,,0,Uncommon,0,0,
Corsica Island,Basculin,550,1,1,1,9,13,,0,Rare,0,0,
Corsica Island,Carvanha,318,1,1,1,15,19,,0,Rare,0,0,
Corsica Island,Chinchou,170,1,1,1,15,19,,0,Common,0,0,
Corsica Island,Feebas,349,1,1,1,15,19,,0,Rare,0,0,
Corsica Island,Finneon,456,1,1,1,15,19,,0,Uncommon,0,0,
Corsica Island,Goldeen,118,1,1,1,15,19,,0,Common,0,0,
Corsica Island,Horsea,116,1,1,1,15,19,,0,Common,0,0,
Corsica Island,Luvdisc,370,1,1,1,15,19,,0,Uncommon,0,0,
Corsica Island,Magikarp,129,1,1,1,15,19,,0,Common,0,0,
Corsica Island,Qwilfish,211,1,1,1,15,19,,0,Uncommon,0,0,
Corsica Island,Relicanth,369,1,1,1,15,19,,0,Rare,0,0,
Corsica Island,Remoraid,223,1,1,1,15,19,,0,Uncommon,0,0,
Corsica Island,Wishiwashi,746,1,1,1,15,19,,0,Rare,0,0,
Crater Town,Alomomola,594,1,1,1,26,30,,0,Rare,0,0,
Crater Town,Corphish,341,1,1,1,26,30,,0,Rare,0,0,
Crater Town,Goldeen,118,1,1,1,26,30,,0,Common,0,0,
Crater Town,Horsea,116,1,1,1,26,30,,0,Common,0,0,
Crater Town,Kingler,99,1,1,1,26,30,,0,Uncommon,0,0,
Crater Town,Shellder,90,1,1,1,26,30,,0,Uncommon,0,0,
Crater Town,Slowking,199,1,1,1,26,30,,0,Uncommon,0,0,
Crater Town,Wingull,278,1,1,1,26,30,,0,Common,0,0,
Crater Town Shore,Binacle,688,1,1,1,26,30,,0,Rare,0,0,
Crater Town Shore,Buizel,418,1,1,1,26,30,,0,Uncommon,0,0,
Crater Town Shore,Ducklett,580,1,1,1,26,30,,0,Uncommon,0,0,
Crater Town Shore,Feebas,349,1,1,1,26,30,,0,Rare,0,0,
Crater Town Shore,Gyarados,130,1,1,1,26,30,,0,Uncommon,0,0,
Crater Town Shore,Seadra,117,1,1,1,26,30,,0,Common,0,0,
Crater Town Shore,Seaking,119,1,1,1,26,30,,0,Common,0,0,
Crater Town Shore,Wingull,278,1,1,1,26,30,,0,Common,0,0,
Crumpit Valley,Buizel,418,1,1,1,25,31,Wacan Berry,0,Uncommon,0,0,
Crumpit Valley,Feebas,349,1,1,1,25,31,,0,Rare,0,0,
Crumpit Valley,Golduck,55,1,1,1,25,31,,0,Common,0,0,
Crumpit Valley,Panpour,515,1,1,1,25,31,Rindo Berry,0,Uncommon,0,0,
Crumpit Valley,Psyduck,54,1,1,1,25,31,,0,Common,0,0,
Crumpit Valley,Spheal,363,1,1,1,25,31,,0,Uncommon,0,0,
Crumpit Valley,Staryu,120,1,1,1,25,31,Water Stone,0,Rare,0,0,
Crumpit Valley,Tentacruel,73,1,1,1,25,31,Poison Barb,0,Common,0,0,
Cryofrost Path,Cryogonal,615,1,1,1,25,31,Never-Melt Ice,0,Rare,0,0,
Cryofrost Path,Horsea,116,1,1,1,25,31,,0,Common,0,0,
Cryofrost Path,Psyduck,54,1,1,1,25,31,,0,Common,0,0,
Cryofrost Path,Qwilfish,211,1,1,1,25,31,Poison Barb,0,Uncommon,0,0,
Cryofrost Path,Slowpoke,79,1,1,1,25,31,Lagging Tail,0,Common,0,0,
Cryofrost Path,Squirtle,7,1,1,1,25,31,,0,Rare,0,0,
Cryofrost Path,Tentacool,72,1,1,1,25,31,Poison Barb,0,Common,0,0,
Cryofrost Path,Wailmer,320,1,1,1,25,31,,0,Uncommon,0,0,
Cryofrost Path,Wailord,321,1,1,1,25,31,,0,Uncommon,0,0,
Crystal Cavern,Clauncher,692,1,1,1,25,31,,1,Rare,0,0,
Crystal Cavern,Clawitzer,693,1,1,1,25,31,,0,Rare,0,0,
Crystal Cavern,Dewgong,87,1,1,1,25,31,,0,Common,0,0,
Crystal Cavern,Goldeen,118,1,1,1,25,31,,0,Common,0,0,
Crystal Cavern,Magikarp,129,1,1,1,25,31,,0,Common,0,0,
Crystal Cavern,Seaking,119,1,1,1,25,31,,0,Uncommon,0,0,
Crystal Cavern,Seel,86,1,1,1,25,31,,0,Common,0,0,
Dark Cave East,Goldeen,118,1,1,1,15,20,Mystic Water,0,Common,1,0,Old Rod
Dark Cave East,Magikarp,129,1,1,1,15,20,,0,Common,1,1,Old Rod
Dark Cave North,Goldeen,118,1,1,1,44,47,,0,Common,1,0,Old Rod
Dark Cave North,Krabby,98,1,1,1,44,47,,0,Common,1,0,Old Rod
Dark Cave North,Magikarp,129,1,1,1,44,47,,0,Common,1,0,Old Rod
Dark Cave North,Seaking,119,1,1,1,44,47,,0,Common,1,0,Old Rod
Dark Cave South,Magikarp,129,1,1,1,5,7,,0,Common,1,0,Old Rod
Dark Cave West,Goldeen,118,1,1,1,15,20,,0,Common,1,0,Old Rod
Dark Cave West,Magikarp,129,1,1,1,15,20,,0,Common,1,1,Old Rod
Dark Cave West,Wooper,194,1,1,1,15,20,,0,Common,1,0,Good Rod
Desert Lagoon,Azurill,298,1,1,1,12,14,,1,Uncommon,1,0,Super Rod
Desert Lagoon,Hippopotas,449,0,0,1,15,18,,1,Rare,0,0,
Desert Lagoon,Lotad,270,1,1,1,12,14,,1,Uncommon,1,0,Super Rod
Desert Lagoon,Poliwag,60,0,0,1,12,14,Kings Rock,1,Common,1,0,Good Rod
Desert Lagoon,Surskit,283,1,1,1,12,14,,1,Uncommon,1,0,Super Rod
Desert Lagoon,Totodile,158,0,1,0,12,14,,1,Rare,1,0,Super Rod
Desert Lagoon,Wooper,194,1,1,1,12,14,,1,Common,1,0,Old Rod
Dewford Town,Krabby,98,1,1,1,20,35,,0,Common,1,0,Old Rod
Dewford Town,Magikarp,129,1,1,1,20,35,,0,Common,1,0,Old Rod
Dewford Town,Pelipper,279,1,1,1,20,35,,0,Uncommon,0,0,
Dewford Town,Skrelp,690,1,1,1,20,35,,0,Rare,0,0,
Dewford Town,Tentacool,72,1,1,1,20,35,,0,Common,1,0,Old Rod
Dewford Town,Wailmer,320,1,1,1,20,35,,0,Uncommon,0,0,
Dewford Town,Wingull,278,1,1,1,20,35,,0,Common,0,0,
Diamond Domain 1F,Flabebe,669,1,1,1,22,25,,0,Rare,0,0,
Diamond Domain 1F,Goldeen,118,1,1,1,22,26,,0,Common,1,0,Old Rod
Diamond Domain 1F,Psyduck,54,1,1,1,22,26,,0,Common,1,0,Old Rod
Diamond Domain 1F,Slowpoke,79,1,1,1,22,26,,0,Common,1,0,Old Rod
Diamond Domain B1F,Clamperl,366,1,1,1,22,26,Deep Sea Tooth,0,Uncommon,1,1,Super Rod
Diamond Domain B1F,Goldeen,118,1,1,1,22,26,,0,Common,1,0,Old Rod
Diamond Domain B1F,Goldeen,118,1,1,1,22,26,,0,Common,1,0,Old Rod
Diamond Domain B1F,Psyduck,54,1,1,1,21,25,,0,Common,1,0,Good Rod
