,Map,Pokemon,DexID,Morning,Day,Night,MinLvl,MaxLvl,Item,Member,Tier,Type,Path
79,Route 7,Houndour,228,1,0,1,22,26,,0,Rare,Land,sprites/houndour.png
80,Safari Johto Mountain Zone,Houndour,228,1,1,1,22,25,Charcoal,0,Rare,Land,sprites/houndour.png
81,Valor Lakefront,Houndour,228,0,0,1,24,28,,0,Rare,Land,sprites/houndour.png
82,Abandoned Desert Village,Lillipup,506,1,1,1,10,14,,1,Uncommon,Land,sprites/lillipup.png
83,Dragonspiral Tower 2F,Lillipup,506,1,1,1,25,31,,0,Uncommon,Land,sprites/lillipup.png
84,Eindoak Waterway,Lillipup,506,1,1,1,25,31,,0,Uncommon,Land,sprites/lillipup.png
85,Evergreen Island Valley,Lillipup,506,1,1,1,12,14,Chople Berry,0,Uncommon,Land,sprites/lillipup.png
86,Frozen Cave Entrance,Lillipup,506,1,1,1,29,31,,0,Uncommon,Land,sprites/lillipup.png
87,Nido Isle,Lillipup,506,1,1,1,30,35,,0,Uncommon,Land,sprites/lillipup.png
88,Polar Path,Lillipup,506,1,1,1,12,14,Rawst Berry,0,Uncommon,Land,sprites/lillipup.png
89,Suzuka Cave B2F,Lillipup,506,1,1,1,10,14,,0,Uncommon,Land,sprites/lillipup.png
90,Vulcan Fair,Lillipup,506,1,1,1,34,38,,0,Uncommon,Land,sprites/lillipup.png
91,Abandoned Desert Village,Machop,66,0,1,0,10,14,Focus Band,0,Common,Land,sprites/machop.png
92,Bittersweet Cave 1F,Machop,66,1,1,1,20,24,Payapa Berry,0,Common,Land,sprites/machop.png
93,Cliff Cave 1F,Machop,66,0,1,0,22,26,,0,Common,Land,sprites/machop.png
94,Cliff Cave 2F,Machop,66,0,1,0,22,26,,0,Common,Land,sprites/machop.png
95,Cliff Cave B1F,Machop,66,0,1,0,28,32,Payapa Berry,0,Common,Land,sprites/machop.png
96,Dragonspiral Tower 1F,Machop,66,1,1,1,25,31,,0,Common,Land,sprites/machop.png
97,Fiery Path,Machop,66,1,1,1,20,22,Payapa Berry,0,Common,Land,sprites/machop.png
98,Iron Island B1F L,Machop,66,1,1,1,32,36,,0,Common,Land,sprites/machop.png
99,Iron Island B1F R,Machop,66,1,1,1,32,36,,0,Common,Land,sprites/machop.png
100,Mt. Coronet Center,Machop,66,1,1,1,13,17,,0,Common,Land,sprites/machop.png
101,Mt. Coronet North,Machop,66,1,1,1,32,32,,0,Common,Land,sprites/machop.png
102,Mt. Coronet South,Machop,66,1,1,1,17,21,,0,Common,Land,sprites/machop.png
103,Mt. Ember,Machop,66,0,1,0,30,38,Focus Band,0,Common,Land,sprites/machop.png
104,Mt. Ember Ruby Path 1F,Machop,66,1,1,1,34,40,Focus Band,0,Common,Land,sprites/machop.png
105,Mt. Ember Ruby Path B1F,Machop,66,1,1,1,34,40,Focus Band,0,Common,Land,sprites/machop.png
106,Mt. Ember Ruby Path B2F,Machop,66,1,1,1,34,40,Focus Band,0,Common,Land,sprites/machop.png
107,Mt. Ember Summit Path 1F,Machop,66,1,1,1,30,38,Focus Band,0,Common,Land,sprites/machop.png
108,Mt. Ember Summit Path 2F,Machop,66,1,1,1,30,38,Focus Band,0,Common,Land,sprites/machop.png
109,Mt. Ember Summit Path 3F,Machop,66,1,1,1,30,38,Focus Band,0,Common,Land,sprites/machop.png
110,Mt. Mortar Upper Cave,Machop,66,1,1,1,32,32,Payapa Berry,0,Common,Land,sprites/machop.png
111,Rock Tunnel 1,Machop,66,0,1,0,28,29,Payapa Berry,0,Common,Land,sprites/machop.png
112,Route 112,Machop,66,1,1,1,19,23,Payapa Berry,0,Common,Land,sprites/machop.png
113,Route 206,Machop,66,1,1,1,15,19,,0,Common,Land,sprites/machop.png
114,Route 207,Machop,66,1,1,1,6,9,,0,Common,Land,sprites/machop.png
115,Route 210 North,Machop,66,1,1,1,25,29,,0,Common,Land,sprites/machop.png
116,Route 211,Machop,66,1,1,1,13,17,,0,Common,Land,sprites/machop.png
117,Route 226,Machop,66,1,1,1,28,32,Payapa Berry,0,Common,Land,sprites/machop.png
118,Route 31,Machop,66,1,0,0,5,7,Payapa Berry,0,Common,Land,sprites/machop.png
119,Serenia Village Tunnel,Machop,66,1,1,1,20,24,Payapa Berry,0,Common,Land,sprites/machop.png
120,Unison Mountain 2F,Machop,66,1,1,1,20,24,Payapa Berry,0,Common,Land,sprites/machop.png
121,Unison Mountain South Summit,Machop,66,1,1,1,20,24,Payapa Berry,0,Common,Land,sprites/machop.png
122,Victory Road Kanto 1F,Machop,66,0,1,0,32,32,Payapa Berry,0,Common,Land,sprites/machop.png
123,Vulcan Cave B1F,Machop,66,1,1,1,28,32,Payapa Berry,0,Common,Land,sprites/machop.png
124,Abandoned Desert Village,Makuhita,296,1,1,1,10,14,Black Belt,0,Uncommon,Land,sprites/makuhita.png
125,Cliff Cave 1F,Makuhita,296,1,1,1,22,26,Black Belt,0,Uncommon,Land,sprites/makuhita.png
126,Cliff Cave 2F,Makuhita,296,1,1,1,22,26,Black Belt,0,Uncommon,Land,sprites/makuhita.png
127,Cliff Cave B1F,Makuhita,296,1,1,1,28,32,Black Belt,0,Common,Land,sprites/makuhita.png
128,Crater Town Tunnel,Makuhita,296,1,1,1,26,30,,0,Uncommon,Land,sprites/makuhita.png
129,Dark Cave North,Makuhita,296,1,1,1,44,47,Black Belt,0,Common,Land,sprites/makuhita.png
130,Dark Cave South,Makuhita,296,1,1,1,5,7,Black Belt,0,Common,Land,sprites/makuhita.png
131,Diamond Domain 1F,Makuhita,296,1,1,1,21,25,Black Belt,0,Uncommon,Land,sprites/makuhita.png
132,Diamond Domain B1F,Makuhita,296,1,1,1,21,25,Black Belt,0,Uncommon,Land,sprites/makuhita.png
133,Diamond Domain Main Cave,Makuhita,296,1,1,1,21,25,Black Belt,0,Uncommon,Land,sprites/makuhita.png
134,Granite Cave 1F,Makuhita,296,1,1,1,9,13,Black Belt,0,Common,Land,sprites/makuhita.png
135,Granite Cave 1F2,Makuhita,296,1,1,1,12,14,Black Belt,0,Uncommon,Land,sprites/makuhita.png
136,Granite Cave B1F,Makuhita,296,1,1,1,12,14,Black Belt,0,Uncommon,Land,sprites/makuhita.png
137,Granite Cave B2F,Makuhita,296,1,1,1,12,14,Black Belt,0,Uncommon,Land,sprites/makuhita.png
138,Iron Island Exit Room,Makuhita,296,1,1,1,32,36,,0,Uncommon,Land,sprites/makuhita.png
139,Mt. Ember Summit Path 1F,Makuhita,296,1,1,1,30,38,Black Belt,0,Uncommon,Land,sprites/makuhita.png
140,Mt. Ember Summit Path 2F,Makuhita,296,1,1,1,30,38,Black Belt,0,Uncommon,Land,sprites/makuhita.png
141,Mt. Ember Summit Path 3F,Makuhita,296,1,1,1,30,38,Black Belt,0,Uncommon,Land,sprites/makuhita.png
142,Mt. Mortar B1F,Makuhita,296,1,0,1,33,37,Black Belt,0,Common,Land,sprites/makuhita.png
143,Mt. Mortar Lower Cave,Makuhita,296,1,1,1,33,37,Black Belt,0,Common,Land,sprites/makuhita.png
144,Mt. Mortar Upper Cave,Makuhita,296,0,1,0,33,37,Black Belt,0,Common,Land,sprites/makuhita.png
145,Oreburgh Gate 1F,Makuhita,296,1,1,1,5,9,,0,Uncommon,Land,sprites/makuhita.png
146,Route 227,Makuhita,296,1,1,1,40,45,Black Belt,0,Common,Land,sprites/makuhita.png
147,Seafoam 1F,Makuhita,296,1,1,1,40,44,Black Belt,0,Common,Land,sprites/makuhita.png
148,Seafoam B2F,Makuhita,296,1,1,1,40,44,Black Belt,0,Common,Land,sprites/makuhita.png
149,Seafoam B3F,Makuhita,296,1,1,1,40,44,Black Belt,0,Common,Land,sprites/makuhita.png
150,Slowpoke Well,Makuhita,296,1,1,1,9,13,Black Belt,0,Common,Land,sprites/makuhita.png
151,Slowpoke Well L1,Makuhita,296,1,1,1,8,12,Black Belt,0,Uncommon,Land,sprites/makuhita.png
152,Stark Mountain Entrance Pt,Makuhita,296,1,1,1,40,45,Black Belt,0,Common,Land,sprites/makuhita.png
153,Three Isle Path,Makuhita,296,1,1,1,10,20,Black Belt,0,Uncommon,Land,sprites/makuhita.png
154,Tohjo Falls,Makuhita,296,1,1,1,42,46,Black Belt,0,Common,Land,sprites/makuhita.png
155,Union Cave 1F,Makuhita,296,1,1,1,8,10,Black Belt,0,Common,Land,sprites/makuhita.png
156,Union Cave B1F,Makuhita,296,1,1,1,8,10,Black Belt,0,Common,Land,sprites/makuhita.png
157,Union Cave B2F,Makuhita,296,1,1,1,6,10,Black Belt,0,Uncommon,Land,sprites/makuhita.png
158,Victory Road Hoenn 1F,Makuhita,296,1,1,1,42,48,,0,Uncommon,Land,sprites/makuhita.png
159,Victory Road Hoenn B2F,Makuhita,296,1,1,1,42,48,,0,Uncommon,Land,sprites/makuhita.png
160,Whirl Islands 1F Northeast,Makuhita,296,1,1,1,23,27,Black Belt,0,Uncommon,Land,sprites/makuhita.png
161,Whirl Islands 1F Northwest,Makuhita,296,1,1,1,23,27,Black Belt,0,Uncommon,Land,sprites/makuhita.png
162,Whirl Islands 1F Southeast,Makuhita,296,1,1,1,23,27,Black Belt,0,Uncommon,Land,sprites/makuhita.png
163,Whirl Islands 1F Southwest,Makuhita,296,1,1,1,23,27,Black Belt,0,Uncommon,Land,sprites/makuhita.png
164,Whirl Islands B1F,Makuhita,296,1,1,1,22,26,Black Belt,0,Uncommon,Land,sprites/makuhita.png
165,Abandoned Desert Village,Sandshrew,27,1,1,1,10,14,Quick Claw,0,Common,Land,sprites/sandshrew.png
166,Altering Cave,Sandshrew,27,1,1,1,12,25,,0,Common,Land,sprites/sandshrew.png
167,Breezy Cave,Sandshrew,27,1,1,1,17,21,,0,Common,Land,sprites/sandshrew.png
168,Desert Cave,Sandshrew,27,1,1,1,10,14,Quick Claw,0,Common,Land,sprites/sandshrew.png
169,Desert Lagoon,Sandshrew,27,1,1,1,12,14,Quick Claw,1,Common,Land,sprites/sandshrew.png
170,Digletts Cave,Sandshrew,27,1,1,1,22,25,Quick Claw,0,Common,Land,sprites/sandshrew.png
171,Dragonspiral Tower 5F,Sandshrew,27,1,1,1,25,31,,0,Common,Land,sprites/sandshrew.png
172,Dragonspiral Tower 6F,Sandshrew,27,1,1,1,25,31,,0,Common,Land,sprites/sandshrew.png
173,Eindoak Waterway,Sandshrew,27,1,1,1,25,31,,0,Common,Land,sprites/sandshrew.png
174,Eriyadu Sulfur Pools,Sandshrew,27,1,1,1,28,31,Quick Claw,0,Common,Land,sprites/sandshrew.png
175,Evergreen Island Crystal Cave,Sandshrew,27,1,1,1,23,27,Quick Claw,0,Common,Land,sprites/sandshrew.png
176,Evergreen Waterway,Sandshrew,27,1,1,1,25,31,,0,Common,Land,sprites/sandshrew.png
177,Forest Maze Underground,Sandshrew,27,1,1,1,25,31,,0,Common,Land,sprites/sandshrew.png
178,Frozen Cave B1F,Sandshrew,27,1,1,1,25,31,Quick Claw,0,Common,Land,sprites/sandshrew.png
179,Galeras Island West,Sandshrew,27,1,1,1,27,33,,0,Common,Land,sprites/sandshrew.png
180,Iron Island 1F,Sandshrew,27,1,1,1,32,36,Quick Claw,0,Common,Land,sprites/sandshrew.png
181,Mirage Island Cave,Sandshrew,27,1,0,0,65,70,Soft Sand,0,Common,Land,sprites/sandshrew.png
182,Mt. Moon 1F,Sandshrew,27,1,1,1,14,16,Quick Claw,0,Common,Land,sprites/sandshrew.png
183,Mt. Moon B1F,Sandshrew,27,1,1,1,14,16,Quick Claw,0,Common,Land,sprites/sandshrew.png
184,Mt. Moon B2F,Sandshrew,27,1,1,1,14,16,Quick Claw,0,Common,Land,sprites/sandshrew.png
185,Munchlax Resort,Sandshrew,27,1,1,1,40,44,,0,Common,Land,sprites/sandshrew.png
186,Oakwood Cavern 1F,Sandshrew,27,1,1,1,25,31,Quick Claw,0,Common,Land,sprites/sandshrew.png
187,Route 11,Sandshrew,27,0,0,1,25,26,,0,Common,Land,sprites/sandshrew.png
188,Route 111 Desert,Sandshrew,27,1,1,1,20,24,,0,Common,Land,sprites/sandshrew.png
189,Route 113,Sandshrew,27,1,1,1,19,23,Quick Claw,0,Common,Land,sprites/sandshrew.png
190,Route 3,Sandshrew,27,1,1,1,12,14,Quick Claw,0,Common,Land,sprites/sandshrew.png
191,Route 31,Sandshrew,27,0,1,0,5,7,Quick Claw,0,Common,Land,sprites/sandshrew.png
192,Route 8,Sandshrew,27,1,1,0,26,30,Quick Claw,0,Common,Land,sprites/sandshrew.png
193,Route 9,Sandshrew,27,1,1,1,22,25,,0,Common,Land,sprites/sandshrew.png
194,Underground Path Sinnoh Entrance,Sandshrew,27,1,1,1,25,29,,0,Common,Land,sprites/sandshrew.png
195,Union Cave 1F,Sandshrew,27,1,1,1,8,10,Quick Claw,0,Common,Land,sprites/sandshrew.png
196,Union Cave B1F,Sandshrew,27,1,1,1,8,10,Quick Claw,0,Common,Land,sprites/sandshrew.png
197,Union Cave B2F,Sandshrew,27,1,1,1,6,10,Oran Berry,0,Common,Land,sprites/sandshrew.png
198,Wayward Cave,Sandshrew,27,1,1,1,15,19,,0,Common,Land,sprites/sandshrew.png
199,Abandoned Desert Village,Trapinch,328,1,1,0,10,14,,0,Rare,Land,sprites/trapinch.png
200,Dragonspiral Tower 3F,Trapinch,328,1,1,1,25,31,,0,Rare,Land,sprites/trapinch.png
201,Hoenn Safari Zone Area 4,Trapinch,328,0,1,0,28,32,Soft Sand,0,Rare,Land,sprites/trapinch.png
202,Route 111 Desert,Trapinch,328,1,1,1,25,29,Dragon Fang,1,Rare,Land,sprites/trapinch.png
203,Acuity Lakefront,Machoke,67,1,1,1,35,36,Payapa Berry,0,Common,Land,sprites/machoke.png
204,Cerulean Cave 1F,Machoke,67,1,0,0,60,64,Black Belt,0,Common,Land,sprites/machoke.png
205,Cerulean Cave 2F,Machoke,67,1,0,0,58,62,Black Belt,0,Common,Land,sprites/machoke.png
206,Cerulean Cave B1F,Machoke,67,1,0,0,59,63,Black Belt,0,Common,Land,sprites/machoke.png
207,Cliff Cave 1F,Machoke,67,0,1,0,23,27,Black Belt,0,Common,Land,sprites/machoke.png
208,Cliff Cave 2F,Machoke,67,0,1,0,23,27,Black Belt,0,Common,Land,sprites/machoke.png
209,Cliff Cave B1F,Machoke,67,0,1,0,28,32,Payapa Berry,0,Common,Land,sprites/machoke.png
210,Crater Town Tunnel,Machoke,67,1,1,1,26,30,,0,Common,Land,sprites/machoke.png
211,Dragons Den B1F,Machoke,67,1,1,1,50,54,Black Belt,0,Common,Land,sprites/machoke.png
212,Dragons Shrine,Machoke,67,1,1,1,60,64,,0,Common,Land,sprites/machoke.png
213,Eindoak Town,Machoke,67,1,1,1,25,31,,0,Common,Land,sprites/machoke.png
214,Iron Island B1F R,Machoke,67,1,1,1,32,36,,0,Common,Land,sprites/machoke.png
215,Mt Silver 4F,Machoke,67,0,1,0,48,52,Focus Band,0,Common,Land,sprites/machoke.png
216,Mt Silver 5F,Machoke,67,0,1,0,52,56,Focus Band,0,Common,Land,sprites/machoke.png
217,Mt. Coronet 2F,Machoke,67,1,1,1,38,43,,0,Common,Land,sprites/machoke.png
218,Mt. Coronet 3F,Machoke,67,1,1,1,38,43,,0,Common,Land,sprites/machoke.png
219,Mt. Coronet 4F,Machoke,67,1,1,1,38,43,,0,Common,Land,sprites/machoke.png
220,Mt. Coronet 5F,Machoke,67,1,1,1,38,43,,0,Common,Land,sprites/machoke.png
221,Mt. Coronet 6F,Machoke,67,1,1,1,38,43,,0,Common,Land,sprites/machoke.png
222,Mt. Coronet 7F,Machoke,67,1,1,1,38,43,,0,Common,Land,sprites/machoke.png
223,Mt. Coronet B1F,Machoke,67,1,1,1,33,38,,0,Common,Land,sprites/machoke.png
224,Mt. Coronet Summit,Machoke,67,1,1,1,40,43,,0,Common,Land,sprites/machoke.png
225,Mt. Coronet Tunnel,Machoke,67,1,1,1,39,43,,0,Common,Land,sprites/machoke.png
226,Mt. Ember Ruby Path 1F,Machoke,67,0,1,0,34,40,Focus Band,0,Common,Land,sprites/machoke.png
227,Mt. Ember Ruby Path B1F,Machoke,67,1,1,1,34,40,Focus Band,0,Common,Land,sprites/machoke.png
228,Mt. Ember Ruby Path B2F,Machoke,67,0,1,0,34,40,Focus Band,0,Common,Land,sprites/machoke.png
229,Mt. Ember Summit Path 1F,Machoke,67,1,1,1,30,38,Focus Band,0,Common,Land,sprites/machoke.png
230,Mt. Ember Summit Path 2F,Machoke,67,0,1,0,30,38,Focus Band,0,Common,Land,sprites/machoke.png
231,Mt. Ember Summit Path 3F,Machoke,67,1,1,1,30,38,Focus Band,0,Common,Land,sprites/machoke.png
232,Mt. Mortar B1F,Machoke,67,0,1,0,33,36,Payapa Berry,0,Common,Land,sprites/machoke.png
233,Mt. Mortar Northern Entrance,Machoke,67,1,1,1,23,23,Payapa Berry,0,Common,Land,sprites/machoke.png
234,Mt. Mortar Upper Cave,Machoke,67,0,1,0,33,36,Payapa Berry,0,Common,Land,sprites/machoke.png
235,Mt. Silver 2F,Machoke,67,1,1,1,50,55,Focus Band,0,Common,Land,sprites/machoke.png
236,Munchlax Resort,Machoke,67,1,1,1,40,44,,0,Uncommon,Land,sprites/machoke.png
237,Route 10,Machoke,67,1,1,1,22,25,Payapa Berry,0,Common,Land,sprites/machoke.png
238,Route 112,Machoke,67,1,1,1,19,23,Black Belt,0,Common,Land,sprites/machoke.png
239,Route 210 North,Machoke,67,1,1,1,25,29,,0,Common,Land,sprites/machoke.png
240,Route 216,Machoke,67,1,1,1,33,37,,0,Common,Land,sprites/machoke.png
241,Route 31,Machoke,67,1,0,0,5,7,Payapa Berry,0,Common,Land,sprites/machoke.png
242,Serenia Village Tunnel,Machoke,67,1,1,1,20,24,Payapa Berry,0,Common,Land,sprites/machoke.png
243,Sinnoh Victory Road 1F,Machoke,67,1,1,1,45,49,,0,Common,Land,sprites/machoke.png
244,Sinnoh Victory Road 2F,Machoke,67,1,1,1,45,49,,0,Common,Land,sprites/machoke.png
245,Sinnoh Victory Road B1F Deep,Machoke,67,1,1,1,50,54,,0,Common,Land,sprites/machoke.png
246,Sinnoh Victory Road B1F Deep Entrance,Machoke,67,1,1,1,50,54,,0,Common,Land,sprites/machoke.png
247,Sinnoh Victory Road B1F Deep Exit,Machoke,67,1,1,1,50,54,,0,Common,Land,sprites/machoke.png
248,Stark Mountain Entrance,Machoke,67,1,1,1,56,60,,0,Common,Land,sprites/machoke.png
249,Unison Mountain South Summit,Machoke,67,1,1,1,20,24,Payapa Berry,0,Common,Land,sprites/machoke.png
250,Victory Road Kanto 1F,Machoke,67,1,0,1,36,36,Payapa Berry,0,Common,Land,sprites/machoke.png
251,Victory Road Kanto 3F,Machoke,67,0,1,0,53,57,Payapa Berry,0,Common,Land,sprites/machoke.png
252,Vulcan Cave B1F,Machoke,67,1,1,1,32,36,Payapa Berry,0,Common,Land,sprites/machoke.png
253,Acuity Lakefront,Meditite,307,1,1,1,39,39,Expert Belt,0,Rare,Land,sprites/meditite.png
254,Burned Tower Floor 2,Meditite,307,1,1,1,21,24,TwistedSpoon,1,Rare,Land,sprites/meditite.png
255,Crystal Cavern,Meditite,307,1,1,1,32,38,,0,Rare,Land,sprites/meditite.png
256,Dragonspiral Tower 2F,Meditite,307,1,1,1,25,31,,0,Rare,Land,sprites/meditite.png
257,Isolated Forest,Meditite,307,1,1,1,27,27,Expert Belt,0,Rare,Land,sprites/meditite.png
