,Map,Pokemon,DexID,MinLvl,MaxLvl,Item,Member,Tier,Type,Path,Time,Level,base_map,Map_x,Region,MaxMinLvl,IsHighestMin,HighestMinCount,IsRepellable,Repel,Tier Count
38,Alto Mare Secret Garden,Pineco,204,5,5,Custap Berry,,Rare,Land,sprites/pineco.png,M/D/Ni,5-5,Alto Mare Secret Garden,Alto Mare Secret Garden,Johto,30,False,4,False,,3
39,Alto Mare Secret Garden,Sentret,161,30,34,Oran Berry,,Common,Land,sprites/sentret.png,M/D/Ni,30-34,Alto Mare Secret Garden,Alto Mare Secret Garden,Johto,30,True,4,False,,4
40,Alto Mare Secret Garden,Tangela,114,30,34,,,Common,Land,sprites/tangela.png,M/D/Ni,30-34,Alto Mare Secret Garden,Alto Mare Secret Garden,Johto,30,True,4,False,,4
41,Amazon Forest,Aipom,190,10,14,,,Uncommon,Land,sprites/aipom.png,M/D/Ni,10-14,Amazon Forest,Amazon Forest,,10,True,10,False,,1
42,Amazon Forest,Arbok,24,10,14,Poison Barb,,Common,Land,sprites/arbok.png,M/D,10-14,Amazon Forest,Amazon Forest,,10,True,10,False,,6
43,Amazon Forest,Ekans,23,10,14,,,Common,Land,sprites/ekans.png,M/D,10-14,Amazon Forest,Amazon Forest,,10,True,10,False,,6
44,Amazon Forest,Golbat,42,10,14,,,Common,Land,sprites/golbat.png,Ni,10-14,Amazon Forest,Amazon Forest,,10,True,10,False,,6
45,Amazon Forest,Grimer,88,10,14,Black Sludge,,Common,Land,sprites/grimer.png,M/D/Ni,10-14,Amazon Forest,Amazon Forest,,10,True,10,False,,6
46,Amazon Forest,Koffing,109,10,14,Smoke Ball,,Common,Land,sprites/koffing.png,M/D/Ni,10-14,Amazon Forest,Amazon Forest,,10,True,10,False,,6
47,Amazon Forest,Pichu,172,10,14,Colbur Berry,Required,Rare,Land,sprites/pichu.png,M/D/Ni,10-14,Amazon Forest,Amazon Forest,,10,True,10,False,,3
48,Amazon Forest,Rattata,19,10,14,,,Common,Land,sprites/rattata.png,M/D,10-14,Amazon Forest,Amazon Forest,,10,True,10,False,,6
49,Amazon Forest,Smeargle,235,10,14,,,Rare,Land,sprites/smeargle.png,M/D,10-14,Amazon Forest,Amazon Forest,,10,True,10,False,,3
50,Amazon Forest,Tyrogue,236,10,14,,,Rare,Land,sprites/tyrogue.png,M/D/Ni,10-14,Amazon Forest,Amazon Forest,,10,True,10,False,,3
51,Amazon Forest Entrance,Aipom,190,10,14,,,Uncommon,Land,sprites/aipom.png,M/D/Ni,10-14,Amazon Forest Entrance,Amazon Forest Entrance,,10,True,4,False,,1
52,Amazon Forest Entrance,Arbok,24,10,14,Poison Barb,,Common,Land,sprites/arbok.png,M/D,10-14,Amazon Forest Entrance,Amazon Forest Entrance,,10,True,4,False,,3
53,Amazon Forest Entrance,Ekans,23,10,14,,,Common,Land,sprites/ekans.png,M/D,10-14,Amazon Forest Entrance,Amazon Forest Entrance,,10,True,4,False,,3
54,Amazon Forest Entrance,Rattata,19,10,14,,,Common,Land,sprites/rattata.png,M/D/Ni,10-14,Amazon Forest Entrance,Amazon Forest Entrance,,10,True,4,False,,3
55,Amity Square,Beedrill,15,17,20,,,Uncommon,Land,sprites/beedrill.png,M/D/Ni,17-20,Amity Square,Amity Square,Sinnoh,21,False,9,False,,5
56,Amity Square,Bidoof,399,17,20,,,Common,Land,sprites/bidoof.png,M/D/Ni,17-20,Amity Square,Amity Square,Sinnoh,21,False,9,False,,3
57,Amity Square,Buneary,427,21,24,,,Uncommon,Land,sprites/buneary.png,M/D/Ni,21-24,Amity Square,Amity Square,Sinnoh,21,True,2,True,21-24,5
58,Amity Square,Drifloon,425,17,20,,,Rare,Land,sprites/drifloon.png,M/D/Ni,17-20,Amity Square,Amity Square,Sinnoh,21,False,9,False,,3
59,Amity Square,Jigglypuff,39,17,20,,,Common,Land,sprites/jigglypuff.png,M/D/Ni,17-20,Amity Square,Amity Square,Sinnoh,21,False,9,False,,3
60,Amity Square,Kricketune,402,17,20,,,Uncommon,Land,sprites/kricketune.png,M/D/Ni,17-20,Amity Square,Amity Square,Sinnoh,21,False,9,False,,5
61,Amity Square,Pachirisu,417,17,20,,,Rare,Land,sprites/pachirisu.png,M/D/Ni,17-20,Amity Square,Amity Square,Sinnoh,21,False,9,False,,3
62,Amity Square,Shroomish,285,21,24,,,Rare,Land,sprites/shroomish.png,M/D/Ni,21-24,Amity Square,Amity Square,Sinnoh,21,True,2,True,21-24,3
63,Amity Square,Skitty,300,17,20,,,Uncommon,Land,sprites/skitty.png,M/D/Ni,17-20,Amity Square,Amity Square,Sinnoh,21,False,9,False,,5
64,Amity Square,Staravia,397,17,20,,,Uncommon,Land,sprites/staravia.png,M/D/Ni,17-20,Amity Square,Amity Square,Sinnoh,21,False,9,False,,5
65,Amity Square,Starly,396,17,20,,,Common,Land,sprites/starly.png,M/D/Ni,17-20,Amity Square,Amity Square,Sinnoh,21,False,9,False,,3
66,Angel Hill,Buneary,427,21,22,Chople Berry,,Uncommon,Land,sprites/buneary.png,M/D/Ni,21-22,Angel Hill,Angel Hill,,21,True,8,False,,3
67,Angel Hill,Growlithe,58,21,22,Rawst Berry,,Common,Land,sprites/growlithe.png,M/D/Ni,21-22,Angel Hill,Angel Hill,,21,True,8,False,,3
68,Angel Hill,Haunter,93,21,22,Spell Tag,,Common,Land,sprites/haunter.png,M/D/Ni,21-22,Angel Hill,Angel Hill,,21,True,8,False,,3
69,Angel Hill,Mawile,303,21,22,Iron Ball,,Rare,Land,sprites/mawile.png,M/D/Ni,21-22,Angel Hill,Angel Hill,,21,True,8,False,,2
70,Angel Hill,Meowth,52,21,22,Quick Claw,,Common,Land,sprites/meowth.png,M/D/Ni,21-22,Angel Hill,Angel Hill,,21,True,8,False,,3
71,Angel Hill,Mimikyu,778,21,22,,Required,Rare,Land,sprites/mimikyu.png,M/D/Ni,21-22,Angel Hill,Angel Hill,,21,True,8,False,,2
72,Angel Hill,Minun,312,21,22,,,Uncommon,Land,sprites/minun.png,M/D/Ni,21-22,Angel Hill,Angel Hill,,21,True,8,False,,3
73,Angel Hill,Plusle,311,21,22,,,Uncommon,Land,sprites/plusle.png,M/D/Ni,21-22,Angel Hill,Angel Hill,,21,True,8,False,,3
74,Aphrodia Island,Budew,406,24,28,Poison Barb,,Uncommon,Land,sprites/budew.png,M/D/Ni,24-28,Aphrodia Island,Aphrodia Island,Kanto,24,True,8,False,,3
75,Aphrodia Island,Chingling,433,24,28,Colbur Berry,,Uncommon,Land,sprites/chingling.png,M/D/Ni,24-28,Aphrodia Island,Aphrodia Island,Kanto,24,True,8,False,,3
76,Aphrodia Island,Clefairy,35,24,28,Moon Stone,,Common,Land,sprites/clefairy.png,M/D/Ni,24-28,Aphrodia Island,Aphrodia Island,Kanto,24,True,8,False,,3
77,Aphrodia Island,Combee,415,24,28,Honey,,Uncommon,Land,sprites/combee.png,M/D/Ni,24-28,Aphrodia Island,Aphrodia Island,Kanto,24,True,8,False,,3
78,Aphrodia Island,Ralts,280,24,28,Dawn Stone,,Rare,Land,sprites/ralts.png,M/D/Ni,24-28,Aphrodia Island,Aphrodia Island,Kanto,24,True,8,False,,2
79,Aphrodia Island,Rattata,19,24,28,,,Common,Land,sprites/rattata.png,M/D/Ni,24-28,Aphrodia Island,Aphrodia Island,Kanto,24,True,8,False,,3
80,Aphrodia Island,Shinx,403,24,28,,,Rare,Land,sprites/shinx.png,M/D/Ni,24-28,Aphrodia Island,Aphrodia Island,Kanto,24,True,8,False,,2
81,Aphrodia Island,Teddiursa,216,24,28,Sitrus Berry,,Common,Land,sprites/teddiursa.png,M/D/Ni,24-28,Aphrodia Island,Aphrodia Island,Kanto,24,True,8,False,,3
82,Aphrodia Island East,Clefairy,35,24,28,Moon Stone,,Common,Land,sprites/clefairy.png,M/D/Ni,24-28,Aphrodia Island East,Aphrodia Island East,Kanto,24,True,7,False,,3
83,Aphrodia Island East,Doduo,84,24,28,Sharp Beak,,Common,Land,sprites/doduo.png,M/D/Ni,24-28,Aphrodia Island East,Aphrodia Island East,Kanto,24,True,7,False,,3
84,Aphrodia Island East,Eevee,133,20,24,,,Rare,Land,sprites/eevee.png,M/D/Ni,20-24,Aphrodia Island East,Aphrodia Island East,Kanto,24,False,2,False,,3
85,Aphrodia Island East,Munna,517,24,28,,,Rare,Land,sprites/munna.png,M/D/Ni,24-28,Aphrodia Island East,Aphrodia Island East,Kanto,24,True,7,False,,3
86,Aphrodia Island East,Natu,177,24,28,,,Common,Land,sprites/natu.png,M/D/Ni,24-28,Aphrodia Island East,Aphrodia Island East,Kanto,24,True,7,False,,3
87,Aphrodia Island East,Plusle,311,24,28,,,Uncommon,Land,sprites/plusle.png,M/D/Ni,24-28,Aphrodia Island East,Aphrodia Island East,Kanto,24,True,7,False,,3
88,Aphrodia Island East,Sewaddle,540,24,28,,,Rare,Land,sprites/sewaddle.png,M/D/Ni,24-28,Aphrodia Island East,Aphrodia Island East,Kanto,24,True,7,False,,3
89,Aphrodia Island East,Shuppet,353,20,24,Spell Tag,,Uncommon,Land,sprites/shuppet.png,M/D/Ni,20-24,Aphrodia Island East,Aphrodia Island East,Kanto,24,False,2,False,,3
90,Aphrodia Island East,Volbeat,313,24,28,Figy Berry,,Uncommon,Land,sprites/volbeat.png,M/D/Ni,24-28,Aphrodia Island East,Aphrodia Island East,Kanto,24,True,7,False,,3
91,Aphrodia Island West,Heracross,214,24,28,,,Rare,Land,sprites/heracross.png,M/D/Ni,24-28,Aphrodia Island West,Aphrodia Island West,Kanto,24,True,9,False,,3
92,Aphrodia Island West,Illumise,314,24,28,Wiki Berry,,Uncommon,Land,sprites/illumise.png,M/D/Ni,24-28,Aphrodia Island West,Aphrodia Island West,Kanto,24,True,9,False,,3
93,Aphrodia Island West,Jigglypuff,39,24,28,Oran Berry,,Common,Land,sprites/jigglypuff.png,M/D/Ni,24-28,Aphrodia Island West,Aphrodia Island West,Kanto,24,True,9,False,,3
94,Aphrodia Island West,Minun,312,24,28,,,Uncommon,Land,sprites/minun.png,M/D/Ni,24-28,Aphrodia Island West,Aphrodia Island West,Kanto,24,True,9,False,,3
95,Aphrodia Island West,Sawk,539,24,28,Black Belt,,Rare,Land,sprites/sawk.png,M/D/Ni,24-28,Aphrodia Island West,Aphrodia Island West,Kanto,24,True,9,False,,3
96,Aphrodia Island West,Starly,396,24,28,Yache Berry,,Common,Land,sprites/starly.png,M/D/Ni,24-28,Aphrodia Island West,Aphrodia Island West,Kanto,24,True,9,False,,3
97,Aphrodia Island West,Teddiursa,216,24,28,Sitrus Berry,,Common,Land,sprites/teddiursa.png,M/D/Ni,24-28,Aphrodia Island West,Aphrodia Island West,Kanto,24,True,9,False,,3
98,Aphrodia Island West,Throh,538,24,28,Black Belt,,Rare,Land,sprites/throh.png,M/D/Ni,24-28,Aphrodia Island West,Aphrodia Island West,Kanto,24,True,9,False,,3
99,Aphrodia Island West,Vulpix,37,24,28,Rawst Berry,,Uncommon,Land,sprites/vulpix.png,M/D/Ni,24-28,Aphrodia Island West,Aphrodia Island West,Kanto,24,True,9,False,,3
100,Bell Tower,Ariados,168,14,17,Silver Powder,,Uncommon,Land,sprites/ariados.png,M/Ni,14-17,Bell Tower,Bell Tower,Johto,14,True,7,False,,4
101,Bell Tower,Gastly,92,14,17,,,Uncommon,Land,sprites/gastly.png,M/D/Ni,14-17,Bell Tower,Bell Tower,Johto,14,True,7,False,,4
102,Bell Tower,Haunter,93,14,17,Spell Tag,,Uncommon,Land,sprites/haunter.png,M/D/Ni,14-17,Bell Tower,Bell Tower,Johto,14,True,7,False,,4
103,Bell Tower,Hoothoot,163,14,17,,,Common,Land,sprites/hoothoot.png,Ni,14-17,Bell Tower,Bell Tower,Johto,14,True,7,False,,3
104,Bell Tower,Noctowl,164,14,17,,,Common,Land,sprites/noctowl.png,Ni,14-17,Bell Tower,Bell Tower,Johto,14,True,7,False,,3
105,Bell Tower,Shuppet,353,14,17,Spell Tag,,Uncommon,Land,sprites/shuppet.png,M/D/Ni,14-17,Bell Tower,Bell Tower,Johto,14,True,7,False,,4
106,Bell Tower,Spinarak,167,14,17,,,Common,Land,sprites/spinarak.png,M/Ni,14-17,Bell Tower,Bell Tower,Johto,14,True,7,False,,3
107,Berry Forest,Bellsprout,69,45,50,Awakening,,Common,Land,sprites/bellsprout.png,M/D,45-50,Berry Forest,Berry Forest,Kanto,51,False,8,False,,6
108,Berry Forest,Drowzee,96,45,50,Sun Stone,,Common,Land,sprites/drowzee.png,M/Ni,45-50,Berry Forest,Berry Forest,Kanto,51,False,8,False,,6
109,Berry Forest,Exeggcute,102,45,50,Sun Stone,,Uncommon,Land,sprites/exeggcute.png,M/D/Ni,45-50,Berry Forest,Berry Forest,Kanto,51,False,8,False,,2
110,Berry Forest,Gloom,44,45,50,Sun Stone,,Common,Land,sprites/gloom.png,Ni,45-50,Berry Forest,Berry Forest,Kanto,51,False,8,False,,6
111,Berry Forest,Hypno,97,45,50,Sun Stone,,Uncommon,Land,sprites/hypno.png,Ni,45-50,Berry Forest,Berry Forest,Kanto,51,False,8,False,,2
112,Berry Forest,Oddish,43,45,50,Sun Stone,,Common,Land,sprites/oddish.png,Ni,45-50,Berry Forest,Berry Forest,Kanto,51,False,8,False,,6
113,Berry Forest,Petilil,548,51,56,,Required,Rare,Land,sprites/petilil.png,M/D,51-56,Berry Forest,Berry Forest,Kanto,51,True,1,True,51-56,1
114,Berry Forest,Slowpoke,79,45,50,Lagging Tail,,Common,Land,sprites/slowpoke.png,M/D/Ni,45-50,Berry Forest,Berry Forest,Kanto,51,False,8,False,,6
115,Berry Forest,Weepinbell,70,45,50,Sun Stone,,Common,Land,sprites/weepinbell.png,M/D/Ni,45-50,Berry Forest,Berry Forest,Kanto,51,False,8,False,,6
116,Bittersweet Cave 1F,Bronzor,436,25,30,Metal Coat,,Common,Land,sprites/bronzor.png,M/D/Ni,25-30,Bittersweet Cave,,,25,True,9,False,,3
117,Bittersweet Cave 1F,Farfetchd,83,25,30,Stick,,Uncommon,Land,sprites/farfetchd.png,M/D/Ni,25-30,Bittersweet Cave,,,25,True,9,False,,4
118,Bittersweet Cave 1F,Growlithe,58,20,22,Rawst Berry,,Common,Land,sprites/growlithe.png,M/D/Ni,20-22,Bittersweet Cave,,,25,False,1,False,,3
119,Bittersweet Cave 1F,Komala,775,25,30,,Required,Rare,Land,sprites/komala.png,M/D/Ni,25-30,Bittersweet Cave,,,25,True,9,False,,3
120,Bittersweet Cave 1F,Machop,66,25,30,Payapa Berry,,Common,Land,sprites/machop.png,M/D/Ni,25-30,Bittersweet Cave,,,25,True,9,False,,3
121,Bittersweet Cave 1F,Minun,312,25,30,,,Uncommon,Land,sprites/minun.png,M/D/Ni,25-30,Bittersweet Cave,,,25,True,9,False,,4
122,Bittersweet Cave 1F,Numel,322,25,30,Rawst Berry,,Uncommon,Land,sprites/numel.png,M/D/Ni,25-30,Bittersweet Cave,,,25,True,9,False,,4
123,Bittersweet Cave 1F,Plusle,311,25,30,,,Uncommon,Land,sprites/plusle.png,M/D/Ni,25-30,Bittersweet Cave,,,25,True,9,False,,4
124,Bittersweet Cave 1F,Sawk,539,25,30,Black Belt,,Rare,Land,sprites/sawk.png,M/D/Ni,25-30,Bittersweet Cave,,,25,True,9,False,,3
125,Bittersweet Cave 1F,Throh,538,25,30,Black Belt,,Rare,Land,sprites/throh.png,M/D/Ni,25-30,Bittersweet Cave,,,25,True,9,False,,3
126,Bittersweet Cave 2F,Bronzor,436,25,30,Metal Coat,,Common,Land,sprites/bronzor.png,M/D/Ni,25-30,Bittersweet Cave,,,25,True,6,False,,4
127,Bittersweet Cave 2F,Haunter,93,10,11,Spell Tag,,Common,Land,sprites/haunter.png,M/D/Ni,10-11,Bittersweet Cave,,,25,False,3,False,,4
128,Bittersweet Cave 2F,Pikachu,25,25,30,Light Ball,,Uncommon,Land,sprites/pikachu.png,M/D/Ni,25-30,Bittersweet Cave,,,25,True,6,False,,3
129,Bittersweet Cave 2F,Slugma,218,25,30,,,Common,Land,sprites/slugma.png,M/D/Ni,25-30,Bittersweet Cave,,,25,True,6,False,,4
130,Bittersweet Cave 2F,Smeargle,235,20,24,,,Rare,Land,sprites/smeargle.png,M/D/Ni,20-24,Bittersweet Cave,,,25,False,3,False,,2
131,Bittersweet Cave 2F,Swinub,220,25,27,Aspear Berry,,Common,Land,sprites/swinub.png,M/D/Ni,25-27,Bittersweet Cave,,,25,True,6,False,,4
132,Bittersweet Cave 2F,Tauros,128,25,30,,,Uncommon,Land,sprites/tauros.png,M/D/Ni,25-30,Bittersweet Cave,,,25,True,6,False,,3
133,Bittersweet Cave 2F,Torkoal,324,25,30,Heat Rock,,Uncommon,Land,sprites/torkoal.png,M/D/Ni,25-30,Bittersweet Cave,,,25,True,6,False,,3
134,Bittersweet Cave 2F,Treecko,252,20,24,,,Rare,Land,sprites/treecko.png,M/D/Ni,20-24,Bittersweet Cave,,,25,False,3,False,,2
135,Bittersweet Cave 3F,Buneary,427,20,22,Chople Berry,,Uncommon,Land,sprites/buneary.png,M/D/Ni,20-22,Bittersweet Cave,,,25,False,5,False,,4
136,Bittersweet Cave 3F,Farfetchd,83,25,30,Stick,,Uncommon,Land,sprites/farfetchd.png,M/D/Ni,25-30,Bittersweet Cave,,,25,True,4,False,,4
137,Bittersweet Cave 3F,Furfrou,676,20,22,,,Rare,Land,sprites/furfrou.png,M/D/Ni,20-22,Bittersweet Cave,,,25,False,5,False,,2
138,Bittersweet Cave 3F,Golett,622,20,22,Light Clay,,Rare,Land,sprites/golett.png,M/D/Ni,20-22,Bittersweet Cave,,,25,False,5,False,,2
139,Bittersweet Cave 3F,Haunter,93,10,11,Spell Tag,,Common,Land,sprites/haunter.png,M/D/Ni,10-11,Bittersweet Cave,,,25,False,5,False,,3
140,Bittersweet Cave 3F,Nosepass,299,25,30,Magnet,,Uncommon,Land,sprites/nosepass.png,M/D/Ni,25-30,Bittersweet Cave,,,25,True,4,False,,4
141,Bittersweet Cave 3F,Numel,322,25,30,Rawst Berry,,Uncommon,Land,sprites/numel.png,M/D/Ni,25-30,Bittersweet Cave,,,25,True,4,False,,4
142,Bittersweet Cave 3F,Paras,46,25,30,,,Common,Land,sprites/paras.png,M/D/Ni,25-30,Bittersweet Cave,,,25,True,4,False,,3
143,Bittersweet Cave 3F,Parasect,47,20,22,,,Common,Land,sprites/parasect.png,M/D/Ni,20-22,Bittersweet Cave,,,25,False,5,False,,3
144,Bittersweet Cave 4F,Bronzong,437,25,30,Metal Coat,,Common,Land,sprites/bronzong.png,M/D/Ni,25-30,Bittersweet Cave,,,25,True,6,False,,4
145,Bittersweet Cave 4F,Bronzor,436,25,30,Metal Coat,,Common,Land,sprites/bronzor.png,M/D/Ni,25-30,Bittersweet Cave,,,25,True,6,False,,4
146,Bittersweet Cave 4F,Buneary,427,20,22,Chople Berry,,Uncommon,Land,sprites/buneary.png,M/D/Ni,20-22,Bittersweet Cave,,,25,False,4,False,,3
147,Bittersweet Cave 4F,Chespin,650,25,26,,,Rare,Land,sprites/chespin.png,M/D/Ni,25-26,Bittersweet Cave,,,25,True,6,False,,3
148,Bittersweet Cave 4F,Growlithe,58,20,22,Rawst Berry,,Common,Land,sprites/growlithe.png,M/D/Ni,20-22,Bittersweet Cave,,,25,False,4,False,,4
149,Bittersweet Cave 4F,Mime Jr.,439,25,30,Leppa Berry,,Rare,Land,sprites/mime-jr.png,M/D/Ni,25-30,Bittersweet Cave,,,25,True,6,False,,3
150,Bittersweet Cave 4F,Pikachu,25,25,30,Light Ball,,Uncommon,Land,sprites/pikachu.png,M/D/Ni,25-30,Bittersweet Cave,,,25,True,6,False,,3
151,Bittersweet Cave 4F,Seedot,273,10,11,Power Herb,,Common,Land,sprites/seedot.png,M/D/Ni,10-11,Bittersweet Cave,,,25,False,4,False,,4
152,Bittersweet Cave 4F,Shuckle,213,20,24,Oran Berry,,Rare,Land,sprites/shuckle.png,M/D/Ni,20-24,Bittersweet Cave,,,25,False,4,False,,3
153,Bittersweet Cave 4F,Sneasel,215,25,30,Razor Claw,,Uncommon,Land,sprites/sneasel.png,M/D/Ni,25-30,Bittersweet Cave,,,25,True,6,False,,3
154,Bond Bridge,Bellsprout,69,29,37,,,Common,Land,sprites/bellsprout.png,M,29-37,Bond Bridge,Bond Bridge,Kanto,29,True,10,False,,9
155,Bond Bridge,Glameow,431,29,37,Cheri Berry,Required,Uncommon,Land,sprites/glameow.png,Ni,29-37,Bond Bridge,Bond Bridge,Kanto,29,True,10,False,,1
